stress_level,variant,mean_success,ci95_success
0.0,scalar_uncertainty_planner,0.6733,0.0160
0.0,conformal_risk_filter,0.7121,0.0120
0.0,proposed_branch_mechanism,0.7495,0.0085
0.0,oracle_branch_upper_bound,0.8002,0.0105
0.2,scalar_uncertainty_planner,0.6112,0.0186
0.2,conformal_risk_filter,0.6645,0.0143
0.2,proposed_branch_mechanism,0.7240,0.0108
0.2,oracle_branch_upper_bound,0.7810,0.0125
0.4,scalar_uncertainty_planner,0.5617,0.0187
0.4,conformal_risk_filter,0.6205,0.0111
0.4,proposed_branch_mechanism,0.6967,0.0114
0.4,oracle_branch_upper_bound,0.7590,0.0126
0.6,scalar_uncertainty_planner,0.5067,0.0226
0.6,conformal_risk_filter,0.5731,0.0147
0.6,proposed_branch_mechanism,0.6586,0.0119
0.6,oracle_branch_upper_bound,0.7412,0.0101
0.8,scalar_uncertainty_planner,0.4517,0.0209
0.8,conformal_risk_filter,0.5267,0.0132
0.8,proposed_branch_mechanism,0.6288,0.0121
0.8,oracle_branch_upper_bound,0.7221,0.0104
1.0,scalar_uncertainty_planner,0.3952,0.0215
1.0,conformal_risk_filter,0.4783,0.0137
1.0,proposed_branch_mechanism,0.6052,0.0150
1.0,oracle_branch_upper_bound,0.7045,0.0139
