uid,title,abstract,year,venue,authors,doi,arxiv_id,url,source,query,query_role,family,advisor_seed,citation_count,matched_terms,retrieved_at,relevance_score,hostile_score
doi:10.3390/rs13214481,Drone-Based Autonomous Motion Planning System for Outdoor Environments under Object Detection Uncertainty,"Recent advances in autonomy of unmanned aerial vehicles (UAVs) have increased their use in remote sensing applications, such as precision agriculture, biosecurity, disaster monitoring, and surveillance. However, onboard UAV cognition capabilities for understanding and interacting in environments with imprecise or partial observations, for objects of interest within complex scenes, are limited, and have not yet been fully investigated. This limitation of onboard decision-making under uncertainty has delegated the motion planning strategy in complex environments to human pilots, which rely on communication subsystems and real-time telemetry from ground control stations. This paper presents a UAV-based autonomous motion planning and object finding system under uncertainty and partial observability in outdoor environments. The proposed system architecture follows a modular design, which allo",2021,Remote Sensing,Juan Sandino; Frederic Maire; Peter Caccetta; Conrad Sanderson; Felipe Gonzalez,10.3390/rs13214481,,https://doi.org/10.3390/rs13214481,crossref,sampling based motion planning,anti_myopia,anti_thesis,,38,motion planning; limitation; robustness; partial observability; sampling based motion planning,2026-06-12T15:07:36Z,17.932,24.932
doi:10.3390/rs14153709,Scene Changes Understanding Framework Based on Graph Convolutional Networks and Swin Transformer Blocks for Monitoring LCLU Using High-Resolution Remote Sensing Images,"High-resolution remote sensing images with rich land surface structure can provide data support for accurately understanding more detailed change information of land cover and land use (LCLU) at different times. In this study, we present a novel scene change understanding framework for remote sensing which includes scene classification and change detection. To enhance the feature representation of images in scene classification, a robust label semantic relation learning (LSRL) network based on EfficientNet is presented for scene classification. It consists of a semantic relation learning module based on graph convolutional networks and a joint expression learning framework based on similarity. Since the bi-temporal remote sensing image pairs include spectral information in both temporal and spatial dimensions, land cover and land use change monitoring can be improved by using the relatio",2022,Remote Sensing,Sihan Yang; Fei Song; Gwanggil Jeon; Rui Sun,10.3390/rs14153709,,https://doi.org/10.3390/rs14153709,crossref,scene graph robot learning,concept,architecture,,12,scene graph robot learning,2026-06-12T15:07:36Z,24.682,24.682
doi:10.3389/frobt.2026.1772005,Integrating foundation models with change detection to identify tasking for service robots,"Mobile manipulators show incredible promise as domestic service robots – interacting with a wide variety of objects using increasingly affordable hardware. But although perception, manipulation, and mobility have advanced, there remain fundamental challenges in making robots more useful. How can a robot proactively identify tasks that it can complete while supporting individual human preferences for how a home should be configured? We propose using foundation models to first detect what has changed and then select appropriate tasks for the service robot. Change affords action. Only those objects that have been interacted with need to be considered for tasking. Other objects, even if located in non-standard positions in the house, can be ignored. Open-vocabulary based object detection and neural radiance field models are used to identify changes corresponding to fixed phrases. Large langu",2026,Frontiers in Robotics and AI,Eric Martinson; Igri Fishta; Devson Butani,10.3389/frobt.2026.1772005,,https://doi.org/10.3389/frobt.2026.1772005,crossref,robot foundation model failure mode,hostile,failure,,,robot foundation model; failure mode,2026-06-12T15:07:36Z,20.000,24.000
doi:10.1109/lra.2025.3629964,Visual Scene Understanding-Based Task Planning for an Efficient Multipurpose Agricultural Robot System,,2025,IEEE Robotics and Automation Letters,Yonghyun Park; Hyoung Il Son,10.1109/lra.2025.3629964,,https://doi.org/10.1109/lra.2025.3629964,crossref,robot world model failure planning,hostile,failure,,1,robot world model; robot world model failure,2026-06-12T15:07:36Z,19.947,23.947
doi:10.1109/lra.2025.3645659,Robust Task Planning via Failure Detection Using Scene Graph From Multi-View Images,,2026,IEEE Robotics and Automation Letters,Haechan Chong; Jongwon Lee; Hyemin Ahn,10.1109/lra.2025.3645659,,https://doi.org/10.1109/lra.2025.3645659,crossref,robot world model failure planning,hostile,failure,,,robot world model; failure detection; robot world model failure,2026-06-12T14:45:03Z,19.600,23.600
doi:10.1109/icra55743.2025.11128568,Robust Scene Change Detection Using Visual Foundation Models and Cross-Attention Mechanisms,,2025,2025 IEEE International Conference on Robotics and Automation (ICRA),Chun-Jung Lin; Sourav Garg; Tat-Jun Chin; Feras Dayoub,10.1109/icra55743.2025.11128568,,https://doi.org/10.1109/icra55743.2025.11128568,crossref,foundation model limitation robotics,anti_myopia,anti_thesis,,1,limitation; foundation model limitation robotics,2026-06-12T15:07:36Z,19.547,23.547
doi:10.2316/j.2026.206-1247,GRASPING TASK PLANNING ALGORITHM FOR DEXTEROUS HAND BASED ON SCENE UNDERSTANDING AND SEMANTIC INFORMATION. 295-306,,2026,International Journal of Robotics and Automation,Zhekai Zhang; Baojiang Li; Bin Wang; Liang Li; Haiyan Wang; Chenhan Zhang,10.2316/j.2026.206-1247,,https://doi.org/10.2316/j.2026.206-1247,crossref,task and motion planning robotics,anti_myopia,classic,,,motion planning; task and motion planning,2026-06-12T15:07:36Z,19.200,23.200
doi:10.1109/tits.2022.3207665,"Vision-Based Semantic Segmentation in Scene Understanding for Autonomous Driving: Recent Achievements, Challenges, and Outlooks","Scene understanding plays a crucial role in autonomous driving by utilizing sensory data for contextual information extraction and decision making. Beyond modeling advances, the enabler for vehicles to become aware of their surroundings is the availability of visual sensory data, which expand the vehicular perception and realizes vehicular contextual awareness in real-world environments. Research directions for scene understanding pursued by related studies include person/vehicle detection and segmentation, their transition analysis, lane change, and turns detection, among many others. Unfortunately, these tasks seem insufficient to completely develop fully-autonomous vehicles i.e., achieving level-5 autonomy, travelling just like human-controlled cars. This latter statement is among the conclusions drawn from this review paper: scene understanding for autonomous driving cars using visio",2022,IEEE Transactions on Intelligent Transportation Systems,Khan Muhammad; Tanveer Hussain; Hayat Ullah; Javier Del Ser; Mahdi Rezaei; Neeraj Kumar; Mohammad Hijji; Paolo Bellavista; Victor Hugo C. de Albuquerque,10.1109/tits.2022.3207665,,https://doi.org/10.1109/tits.2022.3207665,openalex,energy based model robot learning,concept,ebm,,191,limitation,2026-06-12T18:05:07Z,21.079,23.079
doi:10.3390/electronics11152407,Planning Collision-Free Robot Motions in a Human–Robot Shared Workspace via Mixed Reality and Sensor-Fusion Skeleton Tracking,"The paper describes a method for planning collision-free motions of an industrial manipulator that shares the workspace with human operators during a human–robot collaborative application with strict safety requirements. The proposed workflow exploits the advantages of mixed reality to insert real entities into a virtual scene, wherein the robot control command is computed and validated by simulating robot motions without risks for the human. The proposed motion planner relies on a sensor-fusion algorithm that improves the 3D perception of the humans inside the robot workspace. Such an algorithm merges the estimations of the pose of the human bones reconstructed by means of a pointcloud-based skeleton tracking algorithm with the orientation data acquired from wearable inertial measurement units (IMUs) supposed to be fixed to the human bones. The algorithm provides a final reconstruction ",2022,Electronics,Saverio Farsoni; Jacopo Rizzi; Giulia Nenna Ufondu; Marcello Bonfè,10.3390/electronics11152407,,https://doi.org/10.3390/electronics11152407,crossref,robot world model failure planning,hostile,failure,,6,robot world model; motion planning; robot world model failure,2026-06-12T15:07:36Z,18.023,23.023
doi:10.3390/info16110939,ZeroDay-LLM: A Large Language Model Framework for Zero-Day Threat Detection in Cybersecurity,"Zero-day attacks pose unprecedented challenges to modern cybersecurity frameworks, exploiting unknown vulnerabilities that evade traditional signature-based detection systems. This paper presents ZeroDay-LLM, a novel large language model framework specifically designed for real-time zero-day threat detection in IoT and cloud networks. The proposed system integrates lightweight edge encoders with centralized transformer-based reasoning engines, enabling contextual understanding of network traffic patterns and behavioral anomalies. Through comprehensive evaluation on benchmark cybersecurity datasets including CICIDS2017, NSL-KDD, and UNSW-NB15, ZeroDay-LLM demonstrates superior performance, with a 97.8% accuracy in detecting novel attack signatures, a 23% reduction in false positives compared to traditional intrusion detection systems, and enhanced resilience against adversarial evasion te",2025,Information,Mohammed Abdullah Alsuwaiket,10.3390/info16110939,,https://doi.org/10.3390/info16110939,crossref,large language model limitation robot planning,anti_myopia,anti_thesis,,7,limitation; benchmark; robustness; deployment; latency; large language model limitation robot planning,2026-06-12T15:07:36Z,14.940,22.940
