method,split,seed,mean_success,ci95_success,mean_invalid_plan,ci95_invalid_plan,mean_collision_trap,ci95_collision_trap,mean_support_failure,ci95_support_failure,mean_topology_f1,ci95_topology_f1,mean_detection_latency,ci95_detection_latency,mean_replan_cost,ci95_replan_cost,mean_total_cost,ci95_total_cost,groups
graph_neural_change_classifier,combined_stress,0,0.5262,0.0200,0.3915,0.0191,0.2429,0.0153,0.1418,0.0131,0.4568,0.0172,0.7191,0.0066,0.1950,0.0020,0.9439,0.0288,35
graph_neural_change_classifier,combined_stress,1,0.5276,0.0179,0.3949,0.0172,0.2534,0.0164,0.1500,0.0143,0.4633,0.0172,0.7235,0.0058,0.1955,0.0021,0.9674,0.0298,35
graph_neural_change_classifier,combined_stress,2,0.5357,0.0164,0.3959,0.0192,0.2429,0.0160,0.1449,0.0173,0.4673,0.0186,0.7207,0.0054,0.1945,0.0017,0.9503,0.0344,35
graph_neural_change_classifier,combined_stress,3,0.5524,0.0195,0.3997,0.0159,0.2398,0.0185,0.1571,0.0166,0.4670,0.0172,0.7206,0.0055,0.1940,0.0022,0.9625,0.0292,35
graph_neural_change_classifier,combined_stress,4,0.5337,0.0187,0.4003,0.0142,0.2510,0.0157,0.1534,0.0151,0.4582,0.0161,0.7166,0.0053,0.1929,0.0017,0.9704,0.0236,35
graph_neural_change_classifier,combined_stress,5,0.5323,0.0191,0.3959,0.0197,0.2469,0.0173,0.1639,0.0182,0.4388,0.0172,0.7212,0.0049,0.1952,0.0020,0.9755,0.0363,35
graph_neural_change_classifier,combined_stress,6,0.5214,0.0203,0.4075,0.0160,0.2527,0.0171,0.1544,0.0181,0.4605,0.0172,0.7230,0.0057,0.1956,0.0021,0.9821,0.0347,35
graph_neural_change_classifier,delayed_change_shift,0,0.5854,0.0174,0.3221,0.0165,0.2241,0.0160,0.1299,0.0162,0.4956,0.0232,0.7277,0.0046,0.1836,0.0020,0.8404,0.0274,35
graph_neural_change_classifier,delayed_change_shift,1,0.5755,0.0165,0.3480,0.0191,0.2092,0.0152,0.1265,0.0142,0.4867,0.0169,0.7270,0.0049,0.1816,0.0018,0.8404,0.0287,35
graph_neural_change_classifier,delayed_change_shift,2,0.5731,0.0178,0.3483,0.0168,0.2187,0.0133,0.1296,0.0139,0.5003,0.0176,0.7286,0.0054,0.1817,0.0021,0.8544,0.0295,35
graph_neural_change_classifier,delayed_change_shift,3,0.5731,0.0207,0.3435,0.0170,0.2139,0.0199,0.1228,0.0137,0.4932,0.0165,0.7288,0.0049,0.1827,0.0016,0.8390,0.0333,35
graph_neural_change_classifier,delayed_change_shift,4,0.5840,0.0166,0.3374,0.0145,0.2177,0.0171,0.1259,0.0141,0.4782,0.0179,0.7303,0.0048,0.1834,0.0016,0.8418,0.0291,35
graph_neural_change_classifier,delayed_change_shift,5,0.5864,0.0157,0.3364,0.0191,0.2211,0.0153,0.1177,0.0143,0.5024,0.0192,0.7263,0.0058,0.1835,0.0022,0.8362,0.0297,35
graph_neural_change_classifier,delayed_change_shift,6,0.5684,0.0195,0.3364,0.0180,0.2129,0.0154,0.1224,0.0115,0.4918,0.0181,0.7299,0.0048,0.1826,0.0024,0.8313,0.0267,35
graph_neural_change_classifier,embodiment_reach_shift,0,0.6014,0.0192,0.3435,0.0168,0.2014,0.0121,0.0993,0.0117,0.5296,0.0229,0.5815,0.0054,0.1780,0.0023,0.7958,0.0298,35
graph_neural_change_classifier,embodiment_reach_shift,1,0.5840,0.0166,0.3371,0.0196,0.2156,0.0174,0.1082,0.0118,0.5136,0.0191,0.5727,0.0050,0.1784,0.0019,0.8157,0.0291,35
