method,split,seed,mean_success,ci95_success,mean_invalid_plan,ci95_invalid_plan,mean_collision_trap,ci95_collision_trap,mean_support_failure,ci95_support_failure,mean_topology_f1,ci95_topology_f1,mean_detection_latency,ci95_detection_latency,mean_replan_cost,ci95_replan_cost,mean_total_cost,ci95_total_cost,groups
graph_neural_change_classifier,embodiment_reach_shift,2,0.5949,0.0135,0.3357,0.0201,0.1966,0.0136,0.1150,0.0133,0.5180,0.0181,0.5781,0.0064,0.1799,0.0019,0.8022,0.0323,35
graph_neural_change_classifier,embodiment_reach_shift,3,0.5871,0.0197,0.3245,0.0165,0.2034,0.0169,0.1078,0.0106,0.5344,0.0233,0.5768,0.0056,0.1801,0.0020,0.7929,0.0262,35
graph_neural_change_classifier,embodiment_reach_shift,4,0.5895,0.0156,0.3344,0.0150,0.2088,0.0123,0.1245,0.0120,0.5211,0.0197,0.5809,0.0054,0.1775,0.0020,0.8221,0.0263,35
graph_neural_change_classifier,embodiment_reach_shift,5,0.5816,0.0231,0.3531,0.0170,0.2105,0.0130,0.1153,0.0106,0.5439,0.0197,0.5777,0.0061,0.1813,0.0020,0.8341,0.0226,35
graph_neural_change_classifier,embodiment_reach_shift,6,0.6000,0.0171,0.3384,0.0173,0.2014,0.0190,0.1082,0.0130,0.5442,0.0139,0.5764,0.0041,0.1788,0.0021,0.8015,0.0265,35
graph_neural_change_classifier,nominal,0,0.6469,0.0157,0.2211,0.0160,0.1408,0.0134,0.0568,0.0087,0.5759,0.0211,0.5097,0.0058,0.1612,0.0020,0.5637,0.0240,35
graph_neural_change_classifier,nominal,1,0.6463,0.0192,0.2432,0.0188,0.1500,0.0107,0.0605,0.0078,0.5622,0.0173,0.5072,0.0053,0.1620,0.0018,0.5973,0.0227,35
graph_neural_change_classifier,nominal,2,0.6510,0.0209,0.2201,0.0153,0.1493,0.0140,0.0639,0.0083,0.5684,0.0183,0.5088,0.0059,0.1634,0.0019,0.5818,0.0204,35
graph_neural_change_classifier,nominal,3,0.6422,0.0146,0.2286,0.0156,0.1565,0.0103,0.0565,0.0076,0.5646,0.0187,0.5080,0.0054,0.1630,0.0018,0.5886,0.0218,35
graph_neural_change_classifier,nominal,4,0.6551,0.0200,0.2248,0.0135,0.1551,0.0103,0.0534,0.0069,0.5578,0.0200,0.5141,0.0058,0.1617,0.0021,0.5795,0.0175,35
graph_neural_change_classifier,nominal,5,0.6378,0.0223,0.2340,0.0172,0.1558,0.0117,0.0605,0.0087,0.5503,0.0174,0.5093,0.0058,0.1620,0.0023,0.5959,0.0205,35
graph_neural_change_classifier,nominal,6,0.6418,0.0164,0.2167,0.0141,0.1463,0.0122,0.0565,0.0090,0.5738,0.0202,0.5068,0.0058,0.1616,0.0017,0.5659,0.0199,35
graph_neural_change_classifier,perception_noise_shift,0,0.5908,0.0195,0.2827,0.0184,0.1827,0.0154,0.1061,0.0124,0.4895,0.0187,0.5493,0.0061,0.1813,0.0015,0.7339,0.0210,35
graph_neural_change_classifier,perception_noise_shift,1,0.5786,0.0193,0.3082,0.0183,0.1932,0.0139,0.1037,0.0120,0.4827,0.0192,0.5495,0.0050,0.1796,0.0022,0.7630,0.0220,35
graph_neural_change_classifier,perception_noise_shift,2,0.5976,0.0186,0.2884,0.0167,0.2014,0.0152,0.1020,0.0138,0.5003,0.0137,0.5500,0.0051,0.1816,0.0018,0.7554,0.0318,35
graph_neural_change_classifier,perception_noise_shift,3,0.5908,0.0175,0.2861,0.0177,0.1861,0.0126,0.0990,0.0139,0.5051,0.0228,0.5537,0.0043,0.1802,0.0020,0.7319,0.0249,35
graph_neural_change_classifier,perception_noise_shift,4,0.5898,0.0152,0.2908,0.0165,0.1861,0.0151,0.1058,0.0130,0.4854,0.0143,0.5569,0.0053,0.1811,0.0020,0.7440,0.0274,35
graph_neural_change_classifier,perception_noise_shift,5,0.5854,0.0170,0.2847,0.0170,0.1959,0.0196,0.0993,0.0137,0.5095,0.0191,0.5529,0.0057,0.1795,0.0016,0.7413,0.0308,35
graph_neural_change_classifier,perception_noise_shift,6,0.5847,0.0162,0.2827,0.0184,0.1850,0.0128,0.1007,0.0116,0.4864,0.0152,0.5514,0.0063,0.1804,0.0020,0.7300,0.0269,35
learned_affordance_map,combined_stress,0,0.4211,0.0158,0.4626,0.0183,0.2830,0.0178,0.1912,0.0172,0.3068,0.0164,0.8344,0.0057,0.1595,0.0016,1.0647,0.0305,35
learned_affordance_map,combined_stress,1,0.4415,0.0170,0.4684,0.0189,0.2969,0.0162,0.1929,0.0202,0.3139,0.0170,0.8354,0.0057,0.1588,0.0016,1.0860,0.0383,35
learned_affordance_map,combined_stress,2,0.4544,0.0166,0.4816,0.0165,0.2888,0.0150,0.2003,0.0142,0.2867,0.0139,0.8377,0.0068,0.1584,0.0023,1.0958,0.0288,35
learned_affordance_map,combined_stress,3,0.4507,0.0144,0.4646,0.0185,0.2949,0.0104,0.1949,0.0118,0.3133,0.0188,0.8372,0.0050,0.1597,0.0016,1.0836,0.0254,35
learned_affordance_map,combined_stress,4,0.4531,0.0213,0.4629,0.0196,0.3014,0.0181,0.1895,0.0192,0.3153,0.0190,0.8422,0.0046,0.1572,0.0018,1.0811,0.0317,35
learned_affordance_map,combined_stress,5,0.4405,0.0184,0.4663,0.0192,0.2867,0.0190,0.1942,0.0191,0.3054,0.0177,0.8402,0.0051,0.1581,0.0022,1.0738,0.0393,35
learned_affordance_map,combined_stress,6,0.4432,0.0138,0.4728,0.0199,0.2942,0.0144,0.2129,0.0180,0.3136,0.0163,0.8301,0.0047,0.1575,0.0018,1.1066,0.0337,35
learned_affordance_map,delayed_change_shift,0,0.4997,0.0167,0.3861,0.0184,0.2592,0.0157,0.1697,0.0145,0.3320,0.0161,0.8414,0.0050,0.1502,0.0019,0.9417,0.0315,35
learned_affordance_map,delayed_change_shift,1,0.4731,0.0193,0.3952,0.0104,0.2609,0.0181,0.1660,0.0184,0.3463,0.0178,0.8407,0.0057,0.1537,0.0021,0.9509,0.0311,35
learned_affordance_map,delayed_change_shift,2,0.4895,0.0171,0.4058,0.0217,0.2503,0.0154,0.1714,0.0175,0.3473,0.0186,0.8410,0.0054,0.1515,0.0021,0.9518,0.0276,35
learned_affordance_map,delayed_change_shift,3,0.5139,0.0172,0.4214,0.0195,0.2510,0.0155,0.1646,0.0101,0.3354,0.0195,0.8435,0.0044,0.1530,0.0018,0.9602,0.0260,35
learned_affordance_map,delayed_change_shift,4,0.5058,0.0163,0.4017,0.0192,0.2503,0.0137,0.1663,0.0161,0.3432,0.0174,0.8415,0.0045,0.1530,0.0022,0.9444,0.0207,35
learned_affordance_map,delayed_change_shift,5,0.5061,0.0215,0.3949,0.0231,0.2575,0.0144,0.1694,0.0149,0.3432,0.0197,0.8426,0.0054,0.1534,0.0017,0.9501,0.0328,35
learned_affordance_map,delayed_change_shift,6,0.5085,0.0193,0.3908,0.0180,0.2605,0.0168,0.1537,0.0158,0.3432,0.0174,0.8451,0.0054,0.1528,0.0017,0.9331,0.0342,35
learned_affordance_map,embodiment_reach_shift,0,0.5139,0.0204,0.4034,0.0164,0.2412,0.0178,0.1490,0.0140,0.4014,0.0180,0.6932,0.0054,0.1506,0.0017,0.9152,0.0295,35
learned_affordance_map,embodiment_reach_shift,1,0.4993,0.0167,0.4041,0.0162,0.2558,0.0174,0.1575,0.0141,0.3759,0.0148,0.6943,0.0055,0.1517,0.0017,0.9419,0.0324,35
learned_affordance_map,embodiment_reach_shift,2,0.4966,0.0170,0.4024,0.0150,0.2524,0.0159,0.1571,0.0178,0.3901,0.0155,0.6934,0.0057,0.1496,0.0020,0.9343,0.0295,35
learned_affordance_map,embodiment_reach_shift,3,0.5020,0.0255,0.4041,0.0175,0.2486,0.0137,0.1534,0.0145,0.3779,0.0162,0.6918,0.0044,0.1504,0.0019,0.9284,0.0292,35
learned_affordance_map,embodiment_reach_shift,4,0.4983,0.0209,0.3874,0.0174,0.2643,0.0157,0.1599,0.0174,0.3929,0.0176,0.6927,0.0052,0.1494,0.0017,0.9373,0.0283,35
learned_affordance_map,embodiment_reach_shift,5,0.5105,0.0192,0.3857,0.0161,0.2680,0.0173,0.1558,0.0167,0.3813,0.0157,0.6931,0.0072,0.1508,0.0018,0.9371,0.0321,35
learned_affordance_map,embodiment_reach_shift,6,0.4949,0.0203,0.3993,0.0194,0.2588,0.0163,0.1588,0.0147,0.3813,0.0167,0.6955,0.0049,0.1505,0.0015,0.9414,0.0313,35
learned_affordance_map,nominal,0,0.5847,0.0206,0.2789,0.0162,0.1997,0.0169,0.0993,0.0088,0.4156,0.0170,0.6209,0.0047,0.1416,0.0017,0.7026,0.0223,35
learned_affordance_map,nominal,1,0.5922,0.0149,0.2827,0.0161,0.1854,0.0136,0.0898,0.0133,0.4010,0.0177,0.6277,0.0044,0.1400,0.0023,0.6785,0.0270,35
learned_affordance_map,nominal,2,0.5806,0.0170,0.2816,0.0159,0.2031,0.0171,0.0918,0.0088,0.4102,0.0186,0.6237,0.0051,0.1394,0.0024,0.6986,0.0257,35
learned_affordance_map,nominal,3,0.5857,0.0180,0.2956,0.0128,0.1850,0.0136,0.0976,0.0114,0.4003,0.0183,0.6240,0.0055,0.1416,0.0016,0.6989,0.0236,35
learned_affordance_map,nominal,4,0.5997,0.0174,0.2670,0.0167,0.1905,0.0140,0.1058,0.0124,0.4177,0.0172,0.6292,0.0049,0.1394,0.0020,0.6870,0.0243,35
learned_affordance_map,nominal,5,0.5707,0.0197,0.3020,0.0166,0.1884,0.0144,0.1031,0.0104,0.4143,0.0160,0.6259,0.0063,0.1419,0.0024,0.7141,0.0253,35
learned_affordance_map,nominal,6,0.5779,0.0205,0.2878,0.0171,0.1813,0.0142,0.1082,0.0114,0.4252,0.0189,0.6253,0.0062,0.1415,0.0019,0.6991,0.0263,35
learned_affordance_map,perception_noise_shift,0,0.5180,0.0143,0.3507,0.0139,0.2269,0.0161,0.1452,0.0150,0.3503,0.0158,0.6706,0.0072,0.1516,0.0020,0.8517,0.0273,35
learned_affordance_map,perception_noise_shift,1,0.5204,0.0173,0.3500,0.0174,0.2388,0.0176,0.1510,0.0144,0.3476,0.0172,0.6701,0.0053,0.1502,0.0025,0.8690,0.0305,35
learned_affordance_map,perception_noise_shift,2,0.4980,0.0226,0.3558,0.0177,0.2323,0.0165,0.1459,0.0133,0.3439,0.0202,0.6739,0.0058,0.1500,0.0021,0.8612,0.0296,35
learned_affordance_map,perception_noise_shift,3,0.5255,0.0239,0.3578,0.0195,0.2197,0.0160,0.1497,0.0139,0.3422,0.0148,0.6697,0.0058,0.1520,0.0016,0.8550,0.0328,35
learned_affordance_map,perception_noise_shift,4,0.5214,0.0187,0.3609,0.0188,0.2344,0.0158,0.1422,0.0158,0.3381,0.0179,0.6760,0.0058,0.1497,0.0021,0.8635,0.0263,35
learned_affordance_map,perception_noise_shift,5,0.5316,0.0215,0.3466,0.0147,0.2146,0.0152,0.1480,0.0147,0.3384,0.0167,0.6723,0.0045,0.1503,0.0018,0.8363,0.0296,35
learned_affordance_map,perception_noise_shift,6,0.5126,0.0191,0.3544,0.0175,0.2425,0.0170,0.1401,0.0107,0.3469,0.0163,0.6729,0.0055,0.1523,0.0024,0.8674,0.0256,35
occupancy_delta_replanner,combined_stress,0,0.4051,0.0217,0.4527,0.0175,0.2759,0.0158,0.1837,0.0141,0.3347,0.0179,0.8129,0.0049,0.1932,0.0021,1.0743,0.0314,35
occupancy_delta_replanner,combined_stress,1,0.4133,0.0205,0.4459,0.0170,0.2929,0.0181,0.1905,0.0196,0.3207,0.0159,0.8111,0.0063,0.1943,0.0017,1.0955,0.0344,35
occupancy_delta_replanner,combined_stress,2,0.4020,0.0194,0.4452,0.0165,0.2806,0.0187,0.1946,0.0158,0.3313,0.0171,0.8089,0.0046,0.1951,0.0020,1.0865,0.0340,35
occupancy_delta_replanner,combined_stress,3,0.4065,0.0210,0.4388,0.0187,0.2799,0.0166,0.1973,0.0166,0.3262,0.0173,0.8153,0.0048,0.1938,0.0022,1.0819,0.0328,35
occupancy_delta_replanner,combined_stress,4,0.4187,0.0192,0.4524,0.0189,0.2929,0.0172,0.1850,0.0214,0.3289,0.0146,0.8075,0.0050,0.1916,0.0022,1.0925,0.0345,35
occupancy_delta_replanner,combined_stress,5,0.4112,0.0154,0.4595,0.0175,0.2816,0.0187,0.1973,0.0166,0.3170,0.0148,0.8080,0.0052,0.1926,0.0023,1.1002,0.0358,35
occupancy_delta_replanner,combined_stress,6,0.4248,0.0164,0.4663,0.0195,0.2861,0.0214,0.1854,0.0179,0.3333,0.0191,0.8100,0.0051,0.1936,0.0017,1.0993,0.0402,35
occupancy_delta_replanner,delayed_change_shift,0,0.4745,0.0247,0.3888,0.0138,0.2463,0.0179,0.1537,0.0145,0.3626,0.0190,0.8159,0.0064,0.1842,0.0022,0.9470,0.0255,35
occupancy_delta_replanner,delayed_change_shift,1,0.4871,0.0178,0.3939,0.0220,0.2446,0.0151,0.1490,0.0137,0.3663,0.0207,0.8181,0.0056,0.1848,0.0022,0.9451,0.0317,35
occupancy_delta_replanner,delayed_change_shift,2,0.4820,0.0162,0.3884,0.0152,0.2490,0.0167,0.1473,0.0151,0.3670,0.0170,0.8191,0.0058,0.1826,0.0017,0.9413,0.0261,35
occupancy_delta_replanner,delayed_change_shift,3,0.4969,0.0182,0.3748,0.0164,0.2408,0.0177,0.1599,0.0177,0.3395,0.0149,0.8140,0.0056,0.1843,0.0015,0.9357,0.0302,35
occupancy_delta_replanner,delayed_change_shift,4,0.4585,0.0192,0.3942,0.0157,0.2592,0.0176,0.1585,0.0113,0.3690,0.0155,0.8179,0.0046,0.1832,0.0022,0.9698,0.0283,35
occupancy_delta_replanner,delayed_change_shift,5,0.4735,0.0206,0.3867,0.0164,0.2371,0.0148,0.1622,0.0160,0.3752,0.0186,0.8129,0.0048,0.1830,0.0022,0.9429,0.0331,35
occupancy_delta_replanner,delayed_change_shift,6,0.4786,0.0180,0.3935,0.0180,0.2449,0.0166,0.1480,0.0135,0.3561,0.0176,0.8151,0.0068,0.1820,0.0021,0.9412,0.0280,35
occupancy_delta_replanner,embodiment_reach_shift,0,0.4769,0.0166,0.3786,0.0183,0.2476,0.0146,0.1476,0.0125,0.3963,0.0172,0.6683,0.0060,0.1787,0.0022,0.9279,0.0280,35
occupancy_delta_replanner,embodiment_reach_shift,1,0.4762,0.0199,0.3976,0.0158,0.2405,0.0139,0.1463,0.0120,0.3803,0.0195,0.6659,0.0052,0.1804,0.0018,0.9364,0.0251,35
occupancy_delta_replanner,embodiment_reach_shift,2,0.4694,0.0208,0.3912,0.0159,0.2344,0.0169,0.1456,0.0141,0.3976,0.0182,0.6626,0.0068,0.1802,0.0023,0.9233,0.0259,35
occupancy_delta_replanner,embodiment_reach_shift,3,0.4847,0.0185,0.3939,0.0203,0.2354,0.0180,0.1442,0.0161,0.4003,0.0158,0.6685,0.0055,0.1790,0.0024,0.9241,0.0306,35
occupancy_delta_replanner,embodiment_reach_shift,4,0.4779,0.0192,0.3779,0.0170,0.2398,0.0173,0.1412,0.0187,0.3986,0.0214,0.6705,0.0045,0.1789,0.0022,0.9121,0.0391,35
occupancy_delta_replanner,embodiment_reach_shift,5,0.4980,0.0151,0.3840,0.0148,0.2422,0.0177,0.1333,0.0148,0.4085,0.0181,0.6654,0.0041,0.1785,0.0018,0.9113,0.0265,35
occupancy_delta_replanner,embodiment_reach_shift,6,0.4929,0.0190,0.3840,0.0225,0.2449,0.0144,0.1565,0.0141,0.4163,0.0175,0.6674,0.0048,0.1817,0.0019,0.9418,0.0316,35
occupancy_delta_replanner,nominal,0,0.5599,0.0207,0.2619,0.0187,0.1810,0.0129,0.0922,0.0104,0.4082,0.0179,0.6008,0.0053,0.1639,0.0025,0.6824,0.0251,35
occupancy_delta_replanner,nominal,1,0.5500,0.0148,0.2609,0.0155,0.1690,0.0159,0.1041,0.0139,0.4316,0.0202,0.5988,0.0054,0.1662,0.0019,0.6832,0.0267,35
occupancy_delta_replanner,nominal,2,0.5323,0.0215,0.2687,0.0159,0.1782,0.0138,0.1003,0.0129,0.4378,0.0147,0.6001,0.0049,0.1640,0.0019,0.6939,0.0251,35
occupancy_delta_replanner,nominal,3,0.5660,0.0191,0.2738,0.0150,0.1922,0.0156,0.0956,0.0124,0.4408,0.0192,0.5992,0.0055,0.1643,0.0015,0.7088,0.0238,35
occupancy_delta_replanner,nominal,4,0.5588,0.0182,0.2878,0.0138,0.1724,0.0116,0.0912,0.0088,0.4173,0.0158,0.6053,0.0052,0.1645,0.0015,0.6945,0.0200,35
occupancy_delta_replanner,nominal,5,0.5592,0.0191,0.2776,0.0140,0.1799,0.0175,0.0803,0.0099,0.4133,0.0182,0.6045,0.0046,0.1653,0.0017,0.6834,0.0282,35
occupancy_delta_replanner,nominal,6,0.5718,0.0216,0.2724,0.0179,0.1813,0.0139,0.0864,0.0099,0.4303,0.0231,0.5984,0.0051,0.1637,0.0021,0.6854,0.0193,35
occupancy_delta_replanner,perception_noise_shift,0,0.4905,0.0139,0.3466,0.0196,0.2173,0.0173,0.1269,0.0116,0.3633,0.0178,0.6463,0.0061,0.1829,0.0018,0.8498,0.0330,35
occupancy_delta_replanner,perception_noise_shift,1,0.5136,0.0205,0.3361,0.0175,0.2180,0.0169,0.1486,0.0141,0.3534,0.0162,0.6480,0.0060,0.1791,0.0021,0.8606,0.0323,35
occupancy_delta_replanner,perception_noise_shift,2,0.4847,0.0197,0.3452,0.0174,0.2238,0.0151,0.1459,0.0159,0.3568,0.0158,0.6461,0.0052,0.1796,0.0022,0.8724,0.0268,35
occupancy_delta_replanner,perception_noise_shift,3,0.4888,0.0189,0.3378,0.0206,0.2187,0.0155,0.1384,0.0118,0.3473,0.0178,0.6450,0.0051,0.1815,0.0019,0.8545,0.0277,35
occupancy_delta_replanner,perception_noise_shift,4,0.4861,0.0205,0.3347,0.0189,0.2201,0.0182,0.1357,0.0132,0.3541,0.0211,0.6444,0.0049,0.1807,0.0021,0.8498,0.0325,35
occupancy_delta_replanner,perception_noise_shift,5,0.5044,0.0170,0.3330,0.0175,0.2170,0.0159,0.1235,0.0122,0.3565,0.0171,0.6445,0.0055,0.1805,0.0018,0.8319,0.0273,35
occupancy_delta_replanner,perception_noise_shift,6,0.4935,0.0162,0.3381,0.0172,0.2235,0.0140,0.1282,0.0127,0.3412,0.0180,0.6469,0.0052,0.1815,0.0016,0.8494,0.0261,35
oracle_topology_planner,combined_stress,0,0.8204,0.0157,0.2347,0.0158,0.1350,0.0124,0.0554,0.0127,0.7762,0.0165,0.4459,0.0053,0.1974,0.0020,0.6036,0.0287,35
oracle_topology_planner,combined_stress,1,0.8337,0.0177,0.2395,0.0156,0.1361,0.0137,0.0473,0.0117,0.7728,0.0150,0.4443,0.0038,0.1957,0.0019,0.5985,0.0249,35
oracle_topology_planner,combined_stress,2,0.8180,0.0184,0.2466,0.0147,0.1408,0.0144,0.0405,0.0108,0.7871,0.0154,0.4503,0.0068,0.1971,0.0024,0.6041,0.0247,35
oracle_topology_planner,combined_stress,3,0.8276,0.0173,0.2303,0.0152,0.1395,0.0126,0.0588,0.0154,0.7813,0.0138,0.4561,0.0057,0.1967,0.0021,0.6076,0.0298,35
oracle_topology_planner,combined_stress,4,0.8282,0.0152,0.2422,0.0177,0.1330,0.0162,0.0568,0.0122,0.7728,0.0169,0.4520,0.0058,0.1960,0.0017,0.6078,0.0317,35
oracle_topology_planner,combined_stress,5,0.8405,0.0137,0.2473,0.0120,0.1333,0.0166,0.0527,0.0112,0.7915,0.0174,0.4504,0.0062,0.1973,0.0023,0.6095,0.0302,35
oracle_topology_planner,combined_stress,6,0.8357,0.0150,0.2473,0.0122,0.1378,0.0153,0.0493,0.0134,0.7762,0.0130,0.4457,0.0057,0.1984,0.0018,0.6119,0.0231,35
oracle_topology_planner,delayed_change_shift,0,0.8279,0.0158,0.1786,0.0125,0.1082,0.0158,0.0228,0.0098,0.8150,0.0134,0.4585,0.0055,0.1716,0.0022,0.4663,0.0244,35
oracle_topology_planner,delayed_change_shift,1,0.8238,0.0134,0.1714,0.0144,0.1054,0.0143,0.0228,0.0096,0.8099,0.0138,0.4566,0.0050,0.1720,0.0020,0.4577,0.0263,35
oracle_topology_planner,delayed_change_shift,2,0.8425,0.0121,0.1748,0.0136,0.1085,0.0103,0.0163,0.0067,0.8201,0.0161,0.4538,0.0058,0.1727,0.0026,0.4578,0.0173,35
oracle_topology_planner,delayed_change_shift,3,0.8367,0.0143,0.1731,0.0135,0.1048,0.0094,0.0228,0.0084,0.8014,0.0153,0.4597,0.0048,0.1709,0.0019,0.4572,0.0164,35
oracle_topology_planner,delayed_change_shift,4,0.8330,0.0136,0.1673,0.0177,0.1037,0.0133,0.0167,0.0074,0.8194,0.0133,0.4623,0.0045,0.1715,0.0018,0.4453,0.0228,35
oracle_topology_planner,delayed_change_shift,5,0.8299,0.0135,0.1718,0.0171,0.0997,0.0108,0.0184,0.0077,0.8078,0.0133,0.4538,0.0065,0.1724,0.0022,0.4473,0.0218,35
oracle_topology_planner,delayed_change_shift,6,0.8337,0.0145,0.1711,0.0154,0.1034,0.0101,0.0248,0.0094,0.8068,0.0153,0.4617,0.0060,0.1713,0.0018,0.4566,0.0224,35
oracle_topology_planner,embodiment_reach_shift,0,0.8656,0.0144,0.1799,0.0138,0.1000,0.0121,0.0143,0.0060,0.8463,0.0122,0.3071,0.0057,0.1644,0.0023,0.4423,0.0173,35
oracle_topology_planner,embodiment_reach_shift,1,0.8667,0.0142,0.1701,0.0150,0.1024,0.0110,0.0133,0.0062,0.8415,0.0147,0.3084,0.0046,0.1627,0.0023,0.4338,0.0214,35
oracle_topology_planner,embodiment_reach_shift,2,0.8667,0.0131,0.1636,0.0118,0.0942,0.0103,0.0129,0.0062,0.8439,0.0143,0.3041,0.0050,0.1656,0.0019,0.4219,0.0167,35
oracle_topology_planner,embodiment_reach_shift,3,0.8687,0.0131,0.1707,0.0159,0.0990,0.0120,0.0163,0.0064,0.8425,0.0154,0.3075,0.0052,0.1650,0.0022,0.4362,0.0232,35
oracle_topology_planner,embodiment_reach_shift,4,0.8731,0.0130,0.1633,0.0144,0.0874,0.0107,0.0153,0.0071,0.8361,0.0171,0.3040,0.0066,0.1637,0.0019,0.4147,0.0207,35
oracle_topology_planner,embodiment_reach_shift,5,0.8565,0.0100,0.1639,0.0165,0.0946,0.0106,0.0112,0.0054,0.8435,0.0139,0.3059,0.0059,0.1644,0.0021,0.4196,0.0211,35
oracle_topology_planner,embodiment_reach_shift,6,0.8752,0.0102,0.1738,0.0162,0.1017,0.0110,0.0112,0.0051,0.8415,0.0138,0.3019,0.0052,0.1650,0.0022,0.4364,0.0201,35
oracle_topology_planner,nominal,0,0.8626,0.0118,0.0609,0.0082,0.0398,0.0087,0.0024,0.0016,0.8469,0.0154,0.2389,0.0038,0.1288,0.0021,0.2268,0.0121,35
oracle_topology_planner,nominal,1,0.8582,0.0116,0.0582,0.0102,0.0357,0.0093,0.0041,0.0027,0.8670,0.0132,0.2430,0.0057,0.1269,0.0016,0.2199,0.0161,35
oracle_topology_planner,nominal,2,0.8561,0.0128,0.0660,0.0103,0.0408,0.0080,0.0044,0.0024,0.8565,0.0131,0.2424,0.0050,0.1280,0.0021,0.2337,0.0133,35
oracle_topology_planner,nominal,3,0.8520,0.0118,0.0629,0.0094,0.0435,0.0096,0.0024,0.0016,0.8480,0.0124,0.2412,0.0052,0.1281,0.0018,0.2320,0.0144,35
oracle_topology_planner,nominal,4,0.8568,0.0130,0.0612,0.0088,0.0337,0.0083,0.0020,0.0018,0.8544,0.0111,0.2435,0.0064,0.1263,0.0014,0.2175,0.0126,35
oracle_topology_planner,nominal,5,0.8541,0.0159,0.0599,0.0095,0.0412,0.0080,0.0041,0.0025,0.8497,0.0130,0.2377,0.0051,0.1274,0.0018,0.2279,0.0122,35
oracle_topology_planner,nominal,6,0.8622,0.0123,0.0602,0.0093,0.0405,0.0074,0.0024,0.0019,0.8626,0.0121,0.2421,0.0059,0.1250,0.0021,0.2232,0.0114,35
