budget,baseline,mean_utility_diff,ci95_utility_diff,mean_coverage_diff,wins_over_seeds,seeds
moderate,active_view_topology_probe,0.39698,0.01513,0.00000,10,10
moderate,conformal_topology_risk_filter,0.75510,0.02277,0.00000,10,10
moderate,dynamic_scene_graph_transformer_proxy,0.63101,0.01541,0.00000,10,10
moderate,graph_neural_change_classifier,0.74174,0.01819,0.00000,10,10
moderate,neural_tamp_replanner,0.53261,0.01857,0.00000,10,10
moderate,occupancy_delta_replanner,1.11548,0.02619,0.01536,10,10
moderate,oracle_topology_planner,-0.18767,0.01199,0.00000,0,10
moderate,particle_filter_topology_belief_mpc,0.42988,0.01833,0.00000,10,10
moderate,proposed_topology_change_detector_v4,0.26852,0.02051,0.00000,10,10
moderate,risk_aware_robust_replanner,0.79304,0.01960,0.00000,10,10
moderate,topological_slam_tamp,0.57776,0.02158,0.00000,10,10
strict,active_view_topology_probe,0.40505,0.02541,0.00000,10,10
strict,conformal_topology_risk_filter,0.69298,0.02357,0.06970,10,10
strict,dynamic_scene_graph_transformer_proxy,0.63991,0.02239,0.00556,10,10
strict,graph_neural_change_classifier,0.70659,0.02585,0.03698,10,10
strict,neural_tamp_replanner,0.53483,0.02298,0.00061,10,10
strict,occupancy_delta_replanner,0.94164,0.02351,0.39184,10,10
strict,oracle_topology_planner,-0.18394,0.01383,0.00000,0,10
strict,particle_filter_topology_belief_mpc,0.42557,0.01473,0.00000,10,10
strict,proposed_topology_change_detector_v4,0.27921,0.01667,0.00000,10,10
strict,risk_aware_robust_replanner,0.74278,0.02393,0.04583,10,10
strict,topological_slam_tamp,0.59176,0.02153,0.00330,10,10
