method,seed,rows,success,invalid_plan,collision_trap,support_failure,topology_f1,missed_change_fn,false_topology_alarm,detection_latency,replan_cost,topology_risk_ece,utility,regret
occupancy_delta_replanner,2,2304,0.36198,0.38498,0.18967,0.12891,0.28191,0.80469,0.29911,0.73942,0.17435,0.50918,-0.55211,0.54384
occupancy_delta_replanner,3,2304,0.35590,0.38238,0.18750,0.11936,0.29589,0.79627,0.29322,0.73942,0.17435,0.50782,-0.54165,0.54384
occupancy_delta_replanner,4,2304,0.37240,0.36936,0.18142,0.13151,0.33883,0.75831,0.31047,0.73942,0.17435,0.50257,-0.51920,0.53689
occupancy_delta_replanner,5,2304,0.38932,0.37196,0.18880,0.12587,0.30510,0.78597,0.29107,0.73942,0.17435,0.50035,-0.50781,0.52908
occupancy_delta_replanner,6,2304,0.36068,0.39627,0.18707,0.15234,0.30655,0.78209,0.32619,0.73942,0.17435,0.51700,-0.58713,0.54123
occupancy_delta_replanner,7,2304,0.37153,0.39887,0.17448,0.13238,0.29367,0.79592,0.29898,0.73942,0.17435,0.50850,-0.54010,0.54601
occupancy_delta_replanner,8,2304,0.38628,0.37153,0.19835,0.12717,0.29203,0.79270,0.31156,0.73942,0.17435,0.50468,-0.52585,0.52257
occupancy_delta_replanner,9,2304,0.37109,0.37196,0.16797,0.12326,0.31866,0.77452,0.29217,0.73942,0.17435,0.49915,-0.49734,0.53559
oracle_topology_planner,0,2304,0.90668,0.05903,0.01302,0.01085,0.83275,0.25962,0.06486,0.47862,0.22358,0.08577,0.67625,0.00000
oracle_topology_planner,1,2304,0.90885,0.04905,0.01172,0.00694,0.83072,0.26056,0.06284,0.47862,0.22358,0.07407,0.69347,0.00000
oracle_topology_planner,2,2304,0.90582,0.05859,0.01345,0.00868,0.85110,0.22869,0.06473,0.47862,0.22358,0.08268,0.67729,0.00000
oracle_topology_planner,3,2304,0.89974,0.06033,0.01562,0.00694,0.81749,0.27214,0.08186,0.47862,0.22358,0.08767,0.66743,0.00000
oracle_topology_planner,4,2304,0.90929,0.05816,0.01432,0.01302,0.83859,0.24810,0.07034,0.47862,0.22358,0.08803,0.67538,0.00000
oracle_topology_planner,5,2304,0.91840,0.06207,0.01345,0.01215,0.83518,0.25512,0.06187,0.47862,0.22358,0.09182,0.68317,0.00000
oracle_topology_planner,6,2304,0.90191,0.04991,0.01302,0.01215,0.81782,0.27833,0.06839,0.47862,0.22358,0.08138,0.67830,0.00000
oracle_topology_planner,7,2304,0.91753,0.05512,0.01042,0.00738,0.83506,0.25409,0.06340,0.47862,0.22358,0.07941,0.69755,0.00000
oracle_topology_planner,8,2304,0.90885,0.05686,0.01128,0.01172,0.82831,0.26151,0.07356,0.47862,0.22358,0.08552,0.68103,0.00000
oracle_topology_planner,9,2304,0.90668,0.05556,0.01128,0.00608,0.84330,0.24228,0.06364,0.47862,0.22358,0.07929,0.68665,0.00000
particle_filter_topology_belief_mpc,0,2304,0.63802,0.19965,0.07465,0.02127,0.60017,0.51519,0.20810,0.65402,0.21346,0.29799,0.15865,0.26866
particle_filter_topology_belief_mpc,1,2304,0.62804,0.19878,0.07682,0.01910,0.61791,0.49181,0.21357,0.65402,0.21346,0.29324,0.14852,0.28082
particle_filter_topology_belief_mpc,2,2304,0.63976,0.20182,0.07943,0.02431,0.63676,0.47097,0.20352,0.65402,0.21346,0.29953,0.14917,0.26606
particle_filter_topology_belief_mpc,3,2304,0.63194,0.19792,0.07726,0.01823,0.62597,0.48357,0.20686,0.65402,0.21346,0.29466,0.15401,0.26780
particle_filter_topology_belief_mpc,4,2304,0.63238,0.19314,0.08030,0.02257,0.60819,0.50757,0.19193,0.65402,0.21346,0.29374,0.15148,0.27691
particle_filter_topology_belief_mpc,5,2304,0.63194,0.20269,0.07812,0.02387,0.60858,0.50211,0.22386,0.65402,0.21346,0.30121,0.14168,0.28646
particle_filter_topology_belief_mpc,6,2304,0.61328,0.20530,0.07682,0.01997,0.61499,0.49612,0.21533,0.65402,0.21346,0.29515,0.12674,0.28863
particle_filter_topology_belief_mpc,7,2304,0.64106,0.21962,0.06944,0.01866,0.60361,0.51140,0.20333,0.65402,0.21346,0.31015,0.15213,0.27648
particle_filter_topology_belief_mpc,8,2304,0.63021,0.21354,0.08030,0.01606,0.62012,0.49110,0.20690,0.65402,0.21346,0.30434,0.13598,0.27865
particle_filter_topology_belief_mpc,9,2304,0.61372,0.21224,0.07595,0.02517,0.60635,0.50427,0.21826,0.65402,0.21346,0.30454,0.11580,0.29297
proposed_topology_change_detector_v4,0,2304,0.69965,0.15668,0.06207,0.01649,0.64430,0.46423,0.19647,0.60842,0.19867,0.24653,0.29349,0.20703
proposed_topology_change_detector_v4,1,2304,0.68707,0.17405,0.05990,0.01476,0.65540,0.45297,0.18330,0.60842,0.19867,0.25424,0.26965,0.22179
proposed_topology_change_detector_v4,2,2304,0.68924,0.15451,0.05946,0.01302,0.67586,0.42543,0.19754,0.60842,0.19867,0.23866,0.29212,0.21658
proposed_topology_change_detector_v4,3,2304,0.70833,0.16406,0.06424,0.01780,0.66191,0.44319,0.20068,0.60842,0.19867,0.24953,0.29108,0.19141
proposed_topology_change_detector_v4,4,2304,0.69444,0.16493,0.05599,0.01997,0.64535,0.45461,0.21943,0.60842,0.19867,0.25119,0.28260,0.21484
proposed_topology_change_detector_v4,5,2304,0.67014,0.17405,0.06510,0.01997,0.63539,0.47210,0.20640,0.60842,0.19867,0.25829,0.23934,0.24826
proposed_topology_change_detector_v4,6,2304,0.70312,0.16363,0.06293,0.02040,0.65678,0.45560,0.19762,0.60842,0.19867,0.25117,0.28612,0.19878
proposed_topology_change_detector_v4,7,2304,0.67491,0.16970,0.05773,0.01693,0.66363,0.44375,0.20023,0.60842,0.19867,0.24810,0.26174,0.24262
proposed_topology_change_detector_v4,8,2304,0.69835,0.17882,0.05642,0.02127,0.65191,0.45480,0.19911,0.60842,0.19867,0.26015,0.27312,0.21050
proposed_topology_change_detector_v4,9,2304,0.69184,0.17014,0.06380,0.01823,0.68319,0.42217,0.17837,0.60842,0.19867,0.25455,0.27031,0.21484
risk_aware_robust_replanner,0,2304,0.48828,0.30556,0.10200,0.07552,0.37873,0.73074,0.23169,0.66362,0.23442,0.41817,-0.19407,0.41840
risk_aware_robust_replanner,1,2304,0.51736,0.30339,0.11111,0.07031,0.41064,0.70869,0.19889,0.66362,0.23442,0.41362,-0.16627,0.39149
risk_aware_robust_replanner,2,2304,0.51128,0.29384,0.10851,0.05729,0.37963,0.73681,0.21302,0.66362,0.23442,0.40800,-0.14643,0.39453
risk_aware_robust_replanner,3,2304,0.48568,0.31510,0.09679,0.08160,0.37500,0.73517,0.23536,0.66362,0.23442,0.42571,-0.20538,0.41406
risk_aware_robust_replanner,4,2304,0.48524,0.28819,0.10113,0.07118,0.38838,0.72451,0.21498,0.66362,0.23442,0.40362,-0.17387,0.42405
risk_aware_robust_replanner,5,2304,0.49219,0.28906,0.12500,0.06901,0.37741,0.73431,0.23448,0.66362,0.23442,0.41871,-0.19578,0.42622
risk_aware_robust_replanner,6,2304,0.48698,0.33030,0.11849,0.06771,0.35412,0.75539,0.22775,0.66362,0.23442,0.43289,-0.23011,0.41493
risk_aware_robust_replanner,7,2304,0.48828,0.29601,0.11328,0.07769,0.35707,0.75054,0.22356,0.66362,0.23442,0.41658,-0.20083,0.42925
risk_aware_robust_replanner,8,2304,0.48134,0.30599,0.11068,0.06901,0.35499,0.75615,0.20999,0.66362,0.23442,0.41798,-0.20333,0.42752
risk_aware_robust_replanner,9,2304,0.48438,0.30729,0.12023,0.07378,0.40588,0.71644,0.19668,0.66362,0.23442,0.42605,-0.21699,0.42231
risk_calibrated_topology_belief_v5,0,2304,0.82595,0.09592,0.01866,0.01128,0.76490,0.35021,0.08237,0.53502,0.21696,0.13334,0.54746,0.08073
risk_calibrated_topology_belief_v5,1,2304,0.79644,0.09158,0.02648,0.01476,0.76475,0.34296,0.09842,0.53502,0.21696,0.13507,0.50741,0.11241
risk_calibrated_topology_belief_v5,2,2304,0.80773,0.09549,0.02344,0.00955,0.78147,0.32509,0.07750,0.53502,0.21696,0.13176,0.52542,0.09809
risk_calibrated_topology_belief_v5,3,2304,0.80295,0.10330,0.02604,0.00781,0.76259,0.35040,0.08179,0.53502,0.21696,0.14055,0.51156,0.09679
risk_calibrated_topology_belief_v5,4,2304,0.80165,0.09722,0.02344,0.01172,0.76002,0.35133,0.08852,0.53502,0.21696,0.13348,0.51471,0.10764
risk_calibrated_topology_belief_v5,5,2304,0.80425,0.09592,0.02170,0.00955,0.76534,0.34700,0.07783,0.53502,0.21696,0.13254,0.52363,0.11415
risk_calibrated_topology_belief_v5,6,2304,0.81597,0.10764,0.02257,0.00998,0.75845,0.35754,0.08486,0.53502,0.21696,0.14606,0.52259,0.08594
risk_calibrated_topology_belief_v5,7,2304,0.80903,0.10634,0.02257,0.00825,0.75964,0.34931,0.09277,0.53502,0.21696,0.13842,0.51777,0.10851
risk_calibrated_topology_belief_v5,8,2304,0.80382,0.09722,0.02474,0.01259,0.75905,0.34954,0.10169,0.53502,0.21696,0.13852,0.51364,0.10503
risk_calibrated_topology_belief_v5,9,2304,0.80599,0.08247,0.02517,0.01519,0.75760,0.36020,0.07650,0.53502,0.21696,0.12732,0.52819,0.10069
static_scene_graph_planner,0,2304,0.27995,0.45964,0.21571,0.17752,0.17846,0.88132,0.34205,0.81802,0.12391,0.53758,-0.78150,0.62674
static_scene_graph_planner,1,2304,0.29297,0.47049,0.21615,0.18359,0.18029,0.88089,0.33953,0.81802,0.12391,0.54618,-0.78501,0.61589
static_scene_graph_planner,2,2304,0.29340,0.45486,0.22873,0.16493,0.19389,0.86987,0.33708,0.81802,0.12391,0.53878,-0.76649,0.61241
static_scene_graph_planner,3,2304,0.29297,0.44010,0.23090,0.17274,0.17989,0.87952,0.34602,0.81802,0.12391,0.54411,-0.76453,0.60677
static_scene_graph_planner,4,2304,0.27083,0.46918,0.21962,0.16667,0.18417,0.87742,0.32013,0.81802,0.12391,0.54104,-0.79240,0.63845
static_scene_graph_planner,5,2304,0.28038,0.44314,0.23220,0.18273,0.17012,0.88889,0.32523,0.81802,0.12391,0.53974,-0.78992,0.63802
static_scene_graph_planner,6,2304,0.28472,0.46398,0.22439,0.17144,0.16039,0.89012,0.37236,0.81802,0.12391,0.53826,-0.78938,0.61719
static_scene_graph_planner,7,2304,0.27300,0.45182,0.22786,0.18099,0.16333,0.89129,0.33770,0.81802,0.12391,0.54179,-0.80049,0.64453
static_scene_graph_planner,8,2304,0.28385,0.47222,0.22830,0.17274,0.16595,0.88808,0.35129,0.81802,0.12391,0.55345,-0.80223,0.62500
static_scene_graph_planner,9,2304,0.27561,0.46094,0.24653,0.17405,0.17493,0.88385,0.33520,0.81802,0.12391,0.54203,-0.82180,0.63108
topological_slam_tamp,0,2304,0.59505,0.25434,0.11285,0.03819,0.56983,0.53830,0.26267,0.68382,0.19522,0.37962,-0.00179,0.31163
topological_slam_tamp,1,2304,0.55903,0.25694,0.11111,0.03559,0.55927,0.55525,0.24650,0.68382,0.19522,0.37706,-0.03405,0.34983
topological_slam_tamp,2,2304,0.56380,0.25998,0.10807,0.03429,0.54758,0.56553,0.23778,0.68382,0.19522,0.37780,-0.02724,0.34201
topological_slam_tamp,3,2304,0.58941,0.25217,0.10417,0.03733,0.54384,0.56942,0.24520,0.68382,0.19522,0.36838,0.00725,0.31033
topological_slam_tamp,4,2304,0.59418,0.24436,0.11458,0.03212,0.56426,0.54668,0.24382,0.68382,0.19522,0.36660,0.01190,0.31510
topological_slam_tamp,5,2304,0.57075,0.24957,0.10807,0.03559,0.56815,0.54934,0.22171,0.68382,0.19522,0.36751,-0.01020,0.34766
topological_slam_tamp,6,2304,0.59028,0.24349,0.12023,0.03646,0.55061,0.55844,0.24510,0.68382,0.19522,0.37664,-0.00342,0.31163
topological_slam_tamp,7,2304,0.56727,0.24826,0.11675,0.03299,0.54562,0.56463,0.25223,0.68382,0.19522,0.37179,-0.02305,0.35026
topological_slam_tamp,8,2304,0.57031,0.25781,0.11024,0.03819,0.54513,0.56645,0.24638,0.68382,0.19522,0.37433,-0.02602,0.33854
topological_slam_tamp,9,2304,0.56380,0.27517,0.11849,0.03385,0.54639,0.56853,0.26610,0.68382,0.19522,0.38579,-0.05462,0.34288
uncertainty_triggered_replanner,0,2304,0.40495,0.35503,0.14453,0.12153,0.29173,0.80427,0.24853,0.67822,0.21733,0.47916,-0.42114,0.50174
uncertainty_triggered_replanner,1,2304,0.41102,0.35677,0.16319,0.11024,0.27787,0.81147,0.25853,0.67822,0.21733,0.47419,-0.42999,0.49783
uncertainty_triggered_replanner,2,2304,0.41059,0.36198,0.13845,0.11241,0.32126,0.77564,0.26889,0.67822,0.21733,0.47691,-0.40727,0.49523
uncertainty_triggered_replanner,3,2304,0.40885,0.33333,0.15191,0.11285,0.29820,0.79592,0.26501,0.67822,0.21733,0.46338,-0.39844,0.49089
uncertainty_triggered_replanner,4,2304,0.41450,0.33941,0.14410,0.10677,0.31169,0.78602,0.24723,0.67822,0.21733,0.46300,-0.38157,0.49479
uncertainty_triggered_replanner,5,2304,0.41623,0.35243,0.14280,0.11458,0.28924,0.80211,0.27376,0.67822,0.21733,0.47570,-0.40026,0.50217
uncertainty_triggered_replanner,6,2304,0.41884,0.35677,0.14540,0.10807,0.28274,0.80818,0.26411,0.67822,0.21733,0.47649,-0.39757,0.48307
uncertainty_triggered_replanner,7,2304,0.42361,0.35503,0.14627,0.11198,0.28732,0.80513,0.27030,0.67822,0.21733,0.47953,-0.39626,0.49392
uncertainty_triggered_replanner,8,2304,0.41797,0.35026,0.14280,0.11328,0.27103,0.81723,0.27055,0.67822,0.21733,0.47733,-0.39470,0.49089
uncertainty_triggered_replanner,9,2304,0.42708,0.34896,0.15365,0.10417,0.29572,0.79972,0.24467,0.67822,0.21733,0.47092,-0.38686,0.47960
