method,seed,rows,success,invalid_plan,collision_trap,support_failure,topology_f1,missed_change_fn,false_topology_alarm,detection_latency,replan_cost,topology_risk_ece,utility,regret
active_view_topology_probe,0,2304,0.64366,0.19965,0.07335,0.01562,0.65876,0.45056,0.18919,0.56542,0.29448,0.28703,0.15302,0.26302
active_view_topology_probe,1,2304,0.62717,0.18967,0.07812,0.02040,0.67945,0.42847,0.17995,0.56542,0.29448,0.28728,0.13581,0.28168
active_view_topology_probe,2,2304,0.64149,0.17925,0.06207,0.01693,0.65734,0.44524,0.20507,0.56542,0.29448,0.26702,0.18156,0.26432
active_view_topology_probe,3,2304,0.63194,0.17665,0.06076,0.01953,0.66233,0.43782,0.19471,0.56542,0.29448,0.26741,0.17354,0.26780
active_view_topology_probe,4,2304,0.63368,0.19748,0.06858,0.01432,0.64886,0.45671,0.19826,0.56542,0.29448,0.28079,0.15134,0.27561
active_view_topology_probe,5,2304,0.63845,0.20833,0.07378,0.02257,0.67419,0.42346,0.20640,0.56542,0.29448,0.29563,0.13025,0.27995
active_view_topology_probe,6,2304,0.62891,0.18359,0.06727,0.01780,0.66611,0.44608,0.17808,0.56542,0.29448,0.27392,0.15977,0.27300
active_view_topology_probe,7,2304,0.63498,0.17882,0.06467,0.02170,0.66445,0.43693,0.21130,0.56542,0.29448,0.27182,0.16712,0.28255
active_view_topology_probe,8,2304,0.63845,0.17795,0.07031,0.01736,0.67246,0.43689,0.18677,0.56542,0.29448,0.26892,0.17095,0.27040
active_view_topology_probe,9,2304,0.63715,0.19575,0.07292,0.01910,0.67664,0.43037,0.18629,0.56542,0.29448,0.28130,0.14751,0.26953
conformal_topology_risk_filter,0,2304,0.50955,0.29123,0.10200,0.05816,0.40309,0.71605,0.18554,0.69702,0.23365,0.39739,-0.14155,0.39714
conformal_topology_risk_filter,1,2304,0.49783,0.29210,0.10634,0.05469,0.41379,0.70982,0.17595,0.69702,0.23365,0.39760,-0.15478,0.41102
conformal_topology_risk_filter,2,2304,0.48481,0.29731,0.11675,0.06076,0.42967,0.70043,0.14745,0.69702,0.23365,0.40457,-0.19020,0.42101
conformal_topology_risk_filter,3,2304,0.49262,0.29036,0.10634,0.05425,0.44888,0.68130,0.16031,0.69702,0.23365,0.39655,-0.15671,0.40712
conformal_topology_risk_filter,4,2304,0.51085,0.28646,0.09375,0.05556,0.43330,0.69535,0.16253,0.69702,0.23365,0.39238,-0.12048,0.39844
conformal_topology_risk_filter,5,2304,0.50781,0.29080,0.11285,0.05903,0.43487,0.69394,0.16253,0.69702,0.23365,0.40108,-0.15516,0.41059
conformal_topology_risk_filter,6,2304,0.49002,0.29991,0.10200,0.05339,0.44838,0.68357,0.14712,0.69702,0.23365,0.39823,-0.16127,0.41189
conformal_topology_risk_filter,7,2304,0.48003,0.31554,0.10113,0.05642,0.41732,0.70879,0.17925,0.69702,0.23365,0.41306,-0.18969,0.43750
conformal_topology_risk_filter,8,2304,0.49175,0.29948,0.11198,0.05816,0.39711,0.72887,0.15158,0.69702,0.23365,0.40447,-0.17669,0.41710
conformal_topology_risk_filter,9,2304,0.50391,0.30295,0.09288,0.05859,0.41234,0.71296,0.16207,0.69702,0.23365,0.40075,-0.14544,0.40278
dynamic_scene_graph_transformer_proxy,0,2304,0.56467,0.27127,0.11415,0.04557,0.51627,0.59903,0.25581,0.68322,0.19138,0.38820,-0.05547,0.34201
dynamic_scene_graph_transformer_proxy,1,2304,0.57161,0.25521,0.11979,0.04427,0.55064,0.55837,0.26190,0.68322,0.19138,0.37635,-0.03981,0.33724
dynamic_scene_graph_transformer_proxy,2,2304,0.55252,0.28082,0.11849,0.04601,0.50312,0.60942,0.27209,0.68322,0.19138,0.40061,-0.08367,0.35330
dynamic_scene_graph_transformer_proxy,3,2304,0.56207,0.25087,0.12066,0.04123,0.53178,0.58080,0.25141,0.68322,0.19138,0.37899,-0.04251,0.33767
dynamic_scene_graph_transformer_proxy,4,2304,0.56337,0.25651,0.11198,0.05208,0.51993,0.59264,0.26651,0.68322,0.19138,0.37941,-0.04766,0.34592
dynamic_scene_graph_transformer_proxy,5,2304,0.55599,0.26476,0.12457,0.03776,0.53451,0.57939,0.25346,0.68322,0.19138,0.38892,-0.06278,0.36241
dynamic_scene_graph_transformer_proxy,6,2304,0.56814,0.26389,0.11892,0.04818,0.53619,0.57657,0.24915,0.68322,0.19138,0.38603,-0.05377,0.33377
dynamic_scene_graph_transformer_proxy,7,2304,0.56163,0.26910,0.11372,0.04384,0.53839,0.57902,0.24211,0.68322,0.19138,0.38647,-0.05307,0.35590
dynamic_scene_graph_transformer_proxy,8,2304,0.54818,0.25434,0.11372,0.04818,0.51478,0.60225,0.23837,0.68322,0.19138,0.38343,-0.05729,0.36068
dynamic_scene_graph_transformer_proxy,9,2304,0.56641,0.26042,0.12066,0.04470,0.51266,0.59061,0.28292,0.68322,0.19138,0.38771,-0.05378,0.34028
graph_neural_change_classifier,0,2304,0.51823,0.28602,0.14106,0.05425,0.49100,0.62108,0.25667,0.70402,0.18467,0.42048,-0.15949,0.38845
graph_neural_change_classifier,1,2304,0.52431,0.28516,0.12457,0.06076,0.49200,0.61952,0.26404,0.70402,0.18467,0.41587,-0.13912,0.38455
graph_neural_change_classifier,2,2304,0.52995,0.29123,0.12630,0.06120,0.48381,0.62855,0.25781,0.70402,0.18467,0.42072,-0.14156,0.37587
graph_neural_change_classifier,3,2304,0.53559,0.29818,0.13542,0.05859,0.49706,0.61875,0.25463,0.70402,0.18467,0.42565,-0.15032,0.36415
graph_neural_change_classifier,4,2304,0.54991,0.27648,0.13368,0.06684,0.47886,0.63361,0.26417,0.70402,0.18467,0.42221,-0.12288,0.35938
graph_neural_change_classifier,5,2304,0.51693,0.30512,0.12804,0.06120,0.46688,0.64780,0.25659,0.70402,0.18467,0.42824,-0.16940,0.40148
graph_neural_change_classifier,6,2304,0.53516,0.27778,0.12717,0.05686,0.47799,0.63058,0.25720,0.70402,0.18467,0.40782,-0.12088,0.36675
graph_neural_change_classifier,7,2304,0.53689,0.29470,0.13108,0.05946,0.48298,0.62947,0.25276,0.70402,0.18467,0.42141,-0.14190,0.38064
graph_neural_change_classifier,8,2304,0.52734,0.29905,0.12674,0.05903,0.48609,0.62385,0.27396,0.70402,0.18467,0.42087,-0.15079,0.38151
graph_neural_change_classifier,9,2304,0.53602,0.28082,0.12847,0.06033,0.46284,0.65303,0.24379,0.70402,0.18467,0.41990,-0.12622,0.37066
learned_affordance_map,0,2304,0.40278,0.39453,0.18229,0.13194,0.28921,0.79772,0.30667,0.76542,0.15107,0.51134,-0.50925,0.50391
learned_affordance_map,1,2304,0.40278,0.37977,0.18229,0.13672,0.30754,0.78711,0.27968,0.76542,0.15107,0.50666,-0.49782,0.50608
learned_affordance_map,2,2304,0.41927,0.39193,0.18273,0.12370,0.29190,0.79374,0.32405,0.76542,0.15107,0.51125,-0.48334,0.48655
learned_affordance_map,3,2304,0.41536,0.39583,0.18099,0.11979,0.30406,0.78662,0.30543,0.76542,0.15107,0.50340,-0.48305,0.48438
learned_affordance_map,4,2304,0.42318,0.38715,0.18142,0.12109,0.31511,0.77909,0.29919,0.76542,0.15107,0.50659,-0.46812,0.48611
learned_affordance_map,5,2304,0.41406,0.38932,0.18663,0.12109,0.28659,0.80389,0.28637,0.76542,0.15107,0.51014,-0.48486,0.50434
learned_affordance_map,6,2304,0.40668,0.38498,0.18186,0.14583,0.28485,0.79986,0.32291,0.76542,0.15107,0.50871,-0.51133,0.49523
learned_affordance_map,7,2304,0.40929,0.38976,0.19010,0.11849,0.28959,0.79944,0.30530,0.76542,0.15107,0.50521,-0.49298,0.50825
learned_affordance_map,8,2304,0.40582,0.40538,0.18229,0.12630,0.29969,0.79310,0.27973,0.76542,0.15107,0.51506,-0.50833,0.50304
learned_affordance_map,9,2304,0.42752,0.38325,0.17188,0.12457,0.32671,0.76700,0.30605,0.76542,0.15107,0.50196,-0.45279,0.47917
neural_tamp_replanner,0,2304,0.60894,0.23264,0.09809,0.03559,0.52785,0.59036,0.22508,0.65262,0.20409,0.34958,0.05638,0.29774
neural_tamp_replanner,1,2304,0.61502,0.23915,0.09679,0.03472,0.52403,0.59413,0.22051,0.65262,0.20409,0.35232,0.05889,0.29384
neural_tamp_replanner,2,2304,0.58637,0.23958,0.09332,0.04384,0.52313,0.59446,0.22768,0.65262,0.20409,0.35537,0.02429,0.31944
neural_tamp_replanner,3,2304,0.61155,0.25347,0.08854,0.03385,0.52093,0.59654,0.22052,0.65262,0.20409,0.36092,0.05287,0.28819
neural_tamp_replanner,4,2304,0.59201,0.25260,0.09722,0.03385,0.52933,0.58671,0.24256,0.65262,0.20409,0.35936,0.02253,0.31727
neural_tamp_replanner,5,2304,0.59592,0.25608,0.09679,0.03906,0.52033,0.60184,0.21011,0.65262,0.20409,0.36163,0.02017,0.32248
neural_tamp_replanner,6,2304,0.60243,0.24132,0.09158,0.04297,0.53260,0.58196,0.23374,0.65262,0.20409,0.35289,0.04115,0.29948
neural_tamp_replanner,7,2304,0.60373,0.23481,0.09288,0.04080,0.51668,0.59818,0.24943,0.65262,0.20409,0.35211,0.04875,0.31380
neural_tamp_replanner,8,2304,0.57899,0.23307,0.09635,0.04818,0.52398,0.58790,0.25139,0.65262,0.20409,0.35366,0.01302,0.32986
neural_tamp_replanner,9,2304,0.59635,0.24523,0.10330,0.03125,0.52118,0.59104,0.24130,0.65262,0.20409,0.36012,0.02824,0.31033
occupancy_delta_replanner,0,2304,0.37977,0.38498,0.18403,0.12457,0.30315,0.78850,0.28939,0.73942,0.17435,0.50080,-0.52201,0.52691
occupancy_delta_replanner,1,2304,0.36936,0.38194,0.18012,0.12500,0.28557,0.80382,0.28139,0.73942,0.17435,0.50609,-0.52448,0.53950
