comparison,baseline,mean_success_diff,ci95_success_diff,lower95_success_diff,mean_utility_diff,wins_over_seeds,seeds,decision
risk_calibrated_topology_belief_v5_vs_active_view_topology_probe,active_view_topology_probe,0.19661,0.00822,0.18840,0.41428,10,10,v5_better
risk_calibrated_topology_belief_v5_vs_conformal_topology_risk_filter,conformal_topology_risk_filter,0.34280,0.00826,0.33454,0.75746,10,10,v5_better
risk_calibrated_topology_belief_v5_vs_dynamic_scene_graph_transformer_proxy,dynamic_scene_graph_transformer_proxy,0.27422,0.00676,0.26746,0.64015,10,10,v5_better
risk_calibrated_topology_belief_v5_vs_graph_neural_change_classifier,graph_neural_change_classifier,0.30729,0.01210,0.29519,0.73373,10,10,v5_better
risk_calibrated_topology_belief_v5_vs_learned_affordance_map,learned_affordance_map,0.43142,0.01066,0.42076,1.08191,10,10,v5_better
risk_calibrated_topology_belief_v5_vs_neural_tamp_replanner,neural_tamp_replanner,0.23290,0.00977,0.22313,0.53254,10,10,v5_better
risk_calibrated_topology_belief_v5_vs_occupancy_delta_replanner,occupancy_delta_replanner,0.47335,0.01244,0.46092,1.13217,10,10,v5_better
risk_calibrated_topology_belief_v5_vs_oracle_topology_planner,oracle_topology_planner,-0.10391,0.00814,-0.11204,-0.18077,0,10,not_decisive
risk_calibrated_topology_belief_v5_vs_particle_filter_topology_belief_mpc,particle_filter_topology_belief_mpc,0.19349,0.01294,0.18055,0.42314,10,10,v5_better
risk_calibrated_topology_belief_v5_vs_proposed_topology_change_detector_v4,proposed_topology_change_detector_v4,0.12873,0.00929,0.11944,0.27817,10,10,v5_better
risk_calibrated_topology_belief_v5_vs_risk_aware_robust_replanner,risk_aware_robust_replanner,0.35035,0.01375,0.33659,0.79139,10,10,v5_better
risk_calibrated_topology_belief_v5_vs_static_scene_graph_planner,static_scene_graph_planner,0.56563,0.01247,0.55315,1.38852,10,10,v5_better
risk_calibrated_topology_belief_v5_vs_topological_slam_tamp,topological_slam_tamp,0.24905,0.01272,0.23633,0.59066,10,10,v5_better
risk_calibrated_topology_belief_v5_vs_uncertainty_triggered_replanner,uncertainty_triggered_replanner,0.42804,0.00973,0.41831,1.00308,10,10,v5_better
