method,groups,mean_success,ci95_success,mean_invalid_plan,ci95_invalid_plan,mean_collision_trap,ci95_collision_trap,mean_support_failure,ci95_support_failure,mean_topology_f1,ci95_topology_f1,mean_missed_change_fn,ci95_missed_change_fn,mean_false_topology_alarm,ci95_false_topology_alarm,mean_detection_latency,ci95_detection_latency,mean_replan_cost,ci95_replan_cost,mean_topology_risk_ece,ci95_topology_risk_ece,mean_regret,ci95_regret,mean_utility,ci95_utility
active_view_topology_probe,10,0.60434,0.00721,0.23958,0.01074,0.09349,0.00452,0.02439,0.00294,0.64560,0.00613,0.46335,0.00731,0.25335,0.01106,0.64567,0.00000,0.31464,0.00000,0.34949,0.00908,0.30052,0.00907,0.02211,0.01492
conformal_topology_risk_filter,10,0.45816,0.00914,0.35321,0.00654,0.12969,0.00788,0.07648,0.00366,0.39992,0.01132,0.72343,0.00900,0.21863,0.01422,0.77727,0.00000,0.25035,0.00000,0.45920,0.00452,0.44670,0.00828,-0.32106,0.01722
dynamic_scene_graph_transformer_proxy,10,0.52674,0.00625,0.31432,0.00534,0.14210,0.00388,0.06181,0.00545,0.50982,0.01169,0.60490,0.01358,0.32722,0.01150,0.76347,0.00000,0.20770,0.00000,0.44454,0.00403,0.37812,0.00849,-0.20376,0.00530
graph_neural_change_classifier,10,0.49366,0.01022,0.34019,0.01031,0.15616,0.00511,0.07951,0.00593,0.45993,0.00714,0.65415,0.00781,0.32358,0.01050,0.78427,0.00000,0.19983,0.00000,0.47400,0.00510,0.41120,0.01157,-0.29734,0.01647
learned_affordance_map,10,0.36953,0.00615,0.44488,0.00790,0.20434,0.00404,0.14462,0.00549,0.26844,0.00625,0.81684,0.00530,0.37375,0.01567,0.84567,0.00000,0.16239,0.00000,0.53393,0.00305,0.53533,0.00700,-0.64552,0.01386
neural_tamp_replanner,10,0.56806,0.00783,0.29123,0.00781,0.11641,0.00412,0.05009,0.00507,0.50719,0.00844,0.61119,0.00814,0.28857,0.01173,0.73287,0.00000,0.22156,0.00000,0.41496,0.00469,0.33681,0.00897,-0.09615,0.01543
occupancy_delta_replanner,10,0.32760,0.00949,0.43828,0.00709,0.20894,0.00885,0.14679,0.00749,0.27070,0.01237,0.81509,0.00958,0.37124,0.01799,0.81967,0.00000,0.18817,0.00000,0.53447,0.00421,0.57726,0.00887,-0.69578,0.01311
oracle_topology_planner,10,0.90486,0.00460,0.09236,0.00504,0.01615,0.00237,0.01111,0.00250,0.81136,0.00564,0.27821,0.00748,0.11947,0.00729,0.55887,0.00000,0.24758,0.00000,0.12135,0.00490,0.00000,0.00000,0.61716,0.00900
particle_filter_topology_belief_mpc,10,0.60747,0.00726,0.26085,0.00511,0.10165,0.00424,0.02587,0.00309,0.59737,0.01071,0.51687,0.01257,0.27358,0.01020,0.73427,0.00000,0.23131,0.00000,0.37082,0.00285,0.29740,0.00951,0.01325,0.01098
proposed_topology_change_detector_v4,10,0.67222,0.00988,0.21727,0.00826,0.08359,0.00454,0.02153,0.00239,0.64753,0.00975,0.46149,0.01040,0.25948,0.01927,0.68867,0.00000,0.21767,0.00000,0.32219,0.00616,0.23264,0.01304,0.15822,0.01485
risk_aware_robust_replanner,10,0.45061,0.01143,0.35512,0.00718,0.13785,0.00781,0.08950,0.00646,0.35260,0.01577,0.75693,0.01202,0.28052,0.01891,0.74387,0.00000,0.25342,0.00000,0.47158,0.00463,0.45425,0.01291,-0.35499,0.01944
risk_calibrated_topology_belief_v5,10,0.80095,0.00707,0.14149,0.00744,0.03385,0.00241,0.01424,0.00230,0.74339,0.00554,0.36731,0.00897,0.14104,0.00923,0.61527,0.00000,0.23865,0.00000,0.18972,0.00444,0.10391,0.00814,0.43639,0.00907
static_scene_graph_planner,10,0.23533,0.00750,0.50981,0.01041,0.25095,0.01073,0.19705,0.00603,0.14323,0.00437,0.90718,0.00273,0.41347,0.01585,0.89827,0.00000,0.13216,0.00000,0.55485,0.00139,0.66953,0.01033,-0.95213,0.01870
topological_slam_tamp,10,0.55191,0.01402,0.30095,0.00794,0.14280,0.00363,0.04922,0.00344,0.53063,0.00797,0.58507,0.00823,0.31019,0.01803,0.76407,0.00000,0.21134,0.00000,0.43542,0.00637,0.35295,0.01588,-0.15426,0.02172
uncertainty_triggered_replanner,10,0.37292,0.00677,0.40573,0.00547,0.17257,0.00679,0.13194,0.00460,0.25996,0.01151,0.82655,0.00894,0.32916,0.00932,0.75847,0.00000,0.23557,0.00000,0.51152,0.00362,0.53194,0.00881,-0.56669,0.01472
