variant,split,seed,episodes,success_rate,tail_risk,calibration_error
observed_only_behavior_clone,nominal,0,600,0.5650,0.4350,0.0126
observed_only_behavior_clone,nominal,1,600,0.5750,0.4250,0.0115
observed_only_behavior_clone,nominal,2,600,0.5883,0.4117,0.0117
observed_only_behavior_clone,nominal,3,600,0.5817,0.4183,0.0133
observed_only_behavior_clone,nominal,4,600,0.5533,0.4467,0.0390
observed_only_behavior_clone,nominal,5,600,0.6233,0.3767,0.0355
observed_only_behavior_clone,nominal,6,600,0.6100,0.3900,0.0287
observed_only_behavior_clone,hidden_mode_shift,0,600,0.4033,0.5967,0.0054
observed_only_behavior_clone,hidden_mode_shift,1,600,0.4233,0.5767,0.0165
observed_only_behavior_clone,hidden_mode_shift,2,600,0.3917,0.6083,0.0052
observed_only_behavior_clone,hidden_mode_shift,3,600,0.4133,0.5867,0.0020
observed_only_behavior_clone,hidden_mode_shift,4,600,0.4017,0.5983,0.0109
observed_only_behavior_clone,hidden_mode_shift,5,600,0.3767,0.6233,0.0315
observed_only_behavior_clone,hidden_mode_shift,6,600,0.3917,0.6083,0.0099
observed_only_behavior_clone,embodiment_shift,0,600,0.4317,0.5683,0.0011
observed_only_behavior_clone,embodiment_shift,1,600,0.4533,0.5467,0.0139
observed_only_behavior_clone,embodiment_shift,2,600,0.4417,0.5583,0.0122
observed_only_behavior_clone,embodiment_shift,3,600,0.4267,0.5733,0.0212
observed_only_behavior_clone,embodiment_shift,4,600,0.4600,0.5400,0.0148
observed_only_behavior_clone,embodiment_shift,5,600,0.4083,0.5917,0.0324
observed_only_behavior_clone,embodiment_shift,6,600,0.4550,0.5450,0.0208
observed_only_behavior_clone,combined_stress,0,600,0.2933,0.7067,0.0196
observed_only_behavior_clone,combined_stress,1,600,0.3267,0.6733,0.0048
observed_only_behavior_clone,combined_stress,2,600,0.2967,0.7033,0.0152
observed_only_behavior_clone,combined_stress,3,600,0.3233,0.6767,0.0070
observed_only_behavior_clone,combined_stress,4,600,0.3400,0.6600,0.0124
observed_only_behavior_clone,combined_stress,5,600,0.2617,0.7383,0.0615
observed_only_behavior_clone,combined_stress,6,600,0.3167,0.6833,0.0001
data_augmentation_wam,nominal,0,600,0.5833,0.4167,0.0476
data_augmentation_wam,nominal,1,600,0.6483,0.3517,0.0133
data_augmentation_wam,nominal,2,600,0.7017,0.2983,0.0524
data_augmentation_wam,nominal,3,600,0.5967,0.4033,0.0458
data_augmentation_wam,nominal,4,600,0.6283,0.3717,0.0070
data_augmentation_wam,nominal,5,600,0.6683,0.3317,0.0210
data_augmentation_wam,nominal,6,600,0.6283,0.3717,0.0035
data_augmentation_wam,hidden_mode_shift,0,600,0.4983,0.5017,0.0177
data_augmentation_wam,hidden_mode_shift,1,600,0.4817,0.5183,0.0031
data_augmentation_wam,hidden_mode_shift,2,600,0.4867,0.5133,0.0123
data_augmentation_wam,hidden_mode_shift,3,600,0.4983,0.5017,0.0062
data_augmentation_wam,hidden_mode_shift,4,600,0.4750,0.5250,0.0100
data_augmentation_wam,hidden_mode_shift,5,600,0.4767,0.5233,0.0203
data_augmentation_wam,hidden_mode_shift,6,600,0.4533,0.5467,0.0282
data_augmentation_wam,embodiment_shift,0,600,0.4733,0.5267,0.0347
