budget,method,seed,coverage,success,invalid_plan,collision_trap,support_failure,utility
moderate,active_view_topology_probe,0,1.00000,0.62934,0.22743,0.10590,0.02691,0.04061
moderate,active_view_topology_probe,1,1.00000,0.61719,0.24045,0.09635,0.01823,0.04010
moderate,active_view_topology_probe,2,1.00000,0.60330,0.25087,0.09635,0.03125,0.00233
moderate,active_view_topology_probe,3,1.00000,0.61111,0.21875,0.09809,0.02431,0.04375
moderate,active_view_topology_probe,4,1.00000,0.61024,0.24392,0.07986,0.03125,0.03462
moderate,active_view_topology_probe,5,1.00000,0.59896,0.23698,0.10590,0.02257,0.00337
moderate,active_view_topology_probe,6,1.00000,0.62847,0.25174,0.08333,0.02951,0.04447
moderate,active_view_topology_probe,7,1.00000,0.62240,0.23438,0.10590,0.02083,0.03251
moderate,active_view_topology_probe,8,1.00000,0.59809,0.21354,0.09635,0.02865,0.03063
moderate,active_view_topology_probe,9,1.00000,0.61632,0.21701,0.10156,0.01997,0.05004
moderate,conformal_topology_risk_filter,0,1.00000,0.47135,0.34983,0.13021,0.07899,-0.30931
moderate,conformal_topology_risk_filter,1,1.00000,0.45226,0.35764,0.14583,0.07986,-0.35705
moderate,conformal_topology_risk_filter,2,1.00000,0.46267,0.36806,0.13455,0.08507,-0.34664
moderate,conformal_topology_risk_filter,3,1.00000,0.44965,0.33854,0.12760,0.07292,-0.30956
moderate,conformal_topology_risk_filter,4,1.00000,0.46875,0.34375,0.11806,0.07899,-0.29048
moderate,conformal_topology_risk_filter,5,1.00000,0.45226,0.36198,0.12413,0.07378,-0.32454
moderate,conformal_topology_risk_filter,6,1.00000,0.43056,0.37413,0.13976,0.08507,-0.39167
moderate,conformal_topology_risk_filter,7,1.00000,0.45226,0.34375,0.12240,0.06337,-0.29599
moderate,conformal_topology_risk_filter,8,1.00000,0.46007,0.34635,0.15104,0.08073,-0.34203
moderate,conformal_topology_risk_filter,9,1.00000,0.50260,0.35417,0.13802,0.07899,-0.29148
moderate,dynamic_scene_graph_transformer_proxy,0,1.00000,0.55295,0.30903,0.15799,0.05816,-0.18800
moderate,dynamic_scene_graph_transformer_proxy,1,1.00000,0.52865,0.36024,0.13021,0.04948,-0.21759
moderate,dynamic_scene_graph_transformer_proxy,2,1.00000,0.52691,0.30122,0.14236,0.05469,-0.18328
moderate,dynamic_scene_graph_transformer_proxy,3,1.00000,0.52170,0.30903,0.15625,0.05122,-0.21057
moderate,dynamic_scene_graph_transformer_proxy,4,1.00000,0.51215,0.30642,0.13976,0.06076,-0.20439
moderate,dynamic_scene_graph_transformer_proxy,5,1.00000,0.52691,0.31944,0.13889,0.05990,-0.20267
moderate,dynamic_scene_graph_transformer_proxy,6,1.00000,0.56076,0.33073,0.15191,0.05990,-0.19268
moderate,dynamic_scene_graph_transformer_proxy,7,1.00000,0.53646,0.30556,0.14149,0.05295,-0.17683
moderate,dynamic_scene_graph_transformer_proxy,8,1.00000,0.51476,0.33854,0.14931,0.06250,-0.24825
moderate,dynamic_scene_graph_transformer_proxy,9,1.00000,0.53819,0.31771,0.14323,0.05816,-0.19365
moderate,graph_neural_change_classifier,0,1.00000,0.49045,0.33854,0.15972,0.07118,-0.29451
moderate,graph_neural_change_classifier,1,1.00000,0.50608,0.34549,0.15799,0.08160,-0.29488
moderate,graph_neural_change_classifier,2,1.00000,0.50174,0.36372,0.16146,0.07986,-0.31702
moderate,graph_neural_change_classifier,3,1.00000,0.51042,0.36632,0.17361,0.06944,-0.31585
moderate,graph_neural_change_classifier,4,1.00000,0.46615,0.33594,0.17535,0.08333,-0.34770
moderate,graph_neural_change_classifier,5,1.00000,0.47135,0.31771,0.16406,0.08854,-0.31716
moderate,graph_neural_change_classifier,6,1.00000,0.48177,0.36719,0.15278,0.05990,-0.30816
moderate,graph_neural_change_classifier,7,1.00000,0.50694,0.33507,0.16146,0.08247,-0.29061
moderate,graph_neural_change_classifier,8,1.00000,0.49219,0.34462,0.18056,0.07552,-0.32915
moderate,graph_neural_change_classifier,9,1.00000,0.49132,0.34375,0.15799,0.08333,-0.31012
moderate,neural_tamp_replanner,0,1.00000,0.58247,0.29774,0.12934,0.05382,-0.11149
moderate,neural_tamp_replanner,1,1.00000,0.54167,0.29948,0.10764,0.05208,-0.12046
moderate,neural_tamp_replanner,2,1.00000,0.54167,0.29427,0.14149,0.04948,-0.15635
moderate,neural_tamp_replanner,3,1.00000,0.57812,0.26997,0.11545,0.04601,-0.05997
moderate,neural_tamp_replanner,4,1.00000,0.59115,0.29253,0.13368,0.03993,-0.08558
moderate,neural_tamp_replanner,5,1.00000,0.58333,0.30469,0.11285,0.05816,-0.09945
moderate,neural_tamp_replanner,6,1.00000,0.56250,0.27691,0.11372,0.04427,-0.07711
moderate,neural_tamp_replanner,7,1.00000,0.55035,0.29601,0.12934,0.05035,-0.13535
moderate,neural_tamp_replanner,8,1.00000,0.55642,0.29774,0.11979,0.04253,-0.11109
moderate,neural_tamp_replanner,9,1.00000,0.58594,0.28733,0.12153,0.04253,-0.07698
moderate,occupancy_delta_replanner,0,0.98351,0.30185,0.44395,0.20035,0.15004,-0.71691
moderate,occupancy_delta_replanner,1,0.98264,0.31537,0.43816,0.22792,0.15901,-0.74192
moderate,occupancy_delta_replanner,2,0.98351,0.33716,0.42454,0.20388,0.14916,-0.67046
moderate,occupancy_delta_replanner,3,0.98785,0.31547,0.42091,0.19859,0.15290,-0.68266
moderate,occupancy_delta_replanner,4,0.98003,0.32152,0.45084,0.18423,0.13906,-0.67531
moderate,occupancy_delta_replanner,5,0.98003,0.32064,0.44021,0.20549,0.13729,-0.69256
moderate,occupancy_delta_replanner,6,0.98872,0.33363,0.42845,0.23354,0.15277,-0.71693
moderate,occupancy_delta_replanner,7,0.98872,0.34328,0.41528,0.19403,0.13169,-0.62009
moderate,occupancy_delta_replanner,8,0.98351,0.33539,0.44572,0.22330,0.15357,-0.71871
moderate,occupancy_delta_replanner,9,0.98785,0.35237,0.40510,0.20387,0.14236,-0.62703
moderate,oracle_topology_planner,0,1.00000,0.90017,0.07465,0.01389,0.00955,0.63338
moderate,oracle_topology_planner,1,1.00000,0.91233,0.09635,0.02083,0.01302,0.61275
moderate,oracle_topology_planner,2,1.00000,0.88976,0.07726,0.01389,0.01302,0.61716
moderate,oracle_topology_planner,3,1.00000,0.91319,0.09809,0.02604,0.00608,0.61196
moderate,oracle_topology_planner,4,1.00000,0.90191,0.08594,0.02257,0.00608,0.61782
moderate,oracle_topology_planner,5,1.00000,0.90104,0.08681,0.01997,0.00955,0.61448
moderate,oracle_topology_planner,6,1.00000,0.89410,0.08594,0.01910,0.01042,0.60682
moderate,oracle_topology_planner,7,1.00000,0.90885,0.09115,0.01476,0.00868,0.62653
moderate,oracle_topology_planner,8,1.00000,0.89757,0.09722,0.01997,0.01128,0.60007
moderate,oracle_topology_planner,9,1.00000,0.90799,0.08854,0.01389,0.00781,0.62795
moderate,particle_filter_topology_belief_mpc,0,1.00000,0.61458,0.25955,0.11111,0.02083,0.01483
moderate,particle_filter_topology_belief_mpc,1,1.00000,0.62413,0.24913,0.10243,0.02604,0.04028
moderate,particle_filter_topology_belief_mpc,2,1.00000,0.58420,0.27344,0.11198,0.02865,-0.04022
