budget,method,seed,coverage,success,invalid_plan,collision_trap,support_failure,utility
moderate,particle_filter_topology_belief_mpc,3,1.00000,0.58333,0.25868,0.12066,0.02604,-0.03315
moderate,particle_filter_topology_belief_mpc,4,1.00000,0.58333,0.26215,0.09549,0.01997,-0.00017
moderate,particle_filter_topology_belief_mpc,5,1.00000,0.60677,0.25608,0.09983,0.01997,0.02565
moderate,particle_filter_topology_belief_mpc,6,1.00000,0.56944,0.25955,0.10503,0.02083,-0.02131
moderate,particle_filter_topology_belief_mpc,7,1.00000,0.60156,0.26562,0.08854,0.02344,0.02198
moderate,particle_filter_topology_belief_mpc,8,1.00000,0.59201,0.26302,0.10417,0.02517,-0.00379
moderate,particle_filter_topology_belief_mpc,9,1.00000,0.58941,0.26389,0.10417,0.02604,-0.01063
moderate,proposed_topology_change_detector_v4,0,1.00000,0.66667,0.23264,0.07465,0.02431,0.14631
moderate,proposed_topology_change_detector_v4,1,1.00000,0.66580,0.19705,0.07465,0.02083,0.18196
moderate,proposed_topology_change_detector_v4,2,1.00000,0.67969,0.21007,0.09983,0.02431,0.14852
moderate,proposed_topology_change_detector_v4,3,1.00000,0.67448,0.19792,0.08420,0.02604,0.17304
moderate,proposed_topology_change_detector_v4,4,1.00000,0.65625,0.19878,0.07899,0.02257,0.16195
moderate,proposed_topology_change_detector_v4,5,1.00000,0.67535,0.22135,0.10069,0.01476,0.14100
moderate,proposed_topology_change_detector_v4,6,1.00000,0.65625,0.21788,0.09288,0.01910,0.12978
moderate,proposed_topology_change_detector_v4,7,1.00000,0.68663,0.21875,0.08247,0.02170,0.17338
moderate,proposed_topology_change_detector_v4,8,1.00000,0.70312,0.21267,0.08073,0.02691,0.19484
moderate,proposed_topology_change_detector_v4,9,1.00000,0.64497,0.19705,0.07639,0.02431,0.15625
moderate,risk_aware_robust_replanner,0,1.00000,0.41667,0.36458,0.13889,0.09549,-0.40491
moderate,risk_aware_robust_replanner,1,1.00000,0.45833,0.33767,0.15451,0.09635,-0.35655
moderate,risk_aware_robust_replanner,2,1.00000,0.45312,0.36198,0.14236,0.09115,-0.36779
moderate,risk_aware_robust_replanner,3,1.00000,0.43750,0.35330,0.13368,0.09722,-0.37038
moderate,risk_aware_robust_replanner,4,1.00000,0.43316,0.35677,0.13021,0.09809,-0.37522
moderate,risk_aware_robust_replanner,5,1.00000,0.45660,0.34549,0.13455,0.08247,-0.32961
moderate,risk_aware_robust_replanner,6,1.00000,0.43490,0.35938,0.14236,0.09115,-0.38386
moderate,risk_aware_robust_replanner,7,1.00000,0.45833,0.34462,0.11979,0.09201,-0.31941
moderate,risk_aware_robust_replanner,8,1.00000,0.47049,0.35330,0.14497,0.10851,-0.36366
moderate,risk_aware_robust_replanner,9,1.00000,0.44358,0.35764,0.14410,0.08507,-0.36682
moderate,risk_calibrated_topology_belief_v5,0,1.00000,0.79601,0.14149,0.03993,0.01302,0.42536
moderate,risk_calibrated_topology_belief_v5,1,1.00000,0.78906,0.15278,0.02604,0.01389,0.42008
moderate,risk_calibrated_topology_belief_v5,2,1.00000,0.78906,0.14757,0.03472,0.01128,0.41957
moderate,risk_calibrated_topology_belief_v5,3,1.00000,0.77517,0.14757,0.03559,0.01562,0.40004
moderate,risk_calibrated_topology_belief_v5,4,1.00000,0.80035,0.12240,0.03299,0.01302,0.45668
moderate,risk_calibrated_topology_belief_v5,5,1.00000,0.79167,0.13021,0.03038,0.01215,0.44490
moderate,risk_calibrated_topology_belief_v5,6,1.00000,0.80556,0.12934,0.03733,0.01389,0.44473
moderate,risk_calibrated_topology_belief_v5,7,1.00000,0.79514,0.14062,0.04253,0.01997,0.41680
moderate,risk_calibrated_topology_belief_v5,8,1.00000,0.80556,0.14844,0.03993,0.01997,0.41914
moderate,risk_calibrated_topology_belief_v5,9,1.00000,0.78993,0.12934,0.02865,0.01302,0.44493
moderate,topological_slam_tamp,0,1.00000,0.53038,0.32292,0.13889,0.04601,-0.18999
moderate,topological_slam_tamp,1,1.00000,0.53993,0.30642,0.11632,0.04688,-0.13529
moderate,topological_slam_tamp,2,1.00000,0.55122,0.31510,0.14323,0.06337,-0.18477
moderate,topological_slam_tamp,3,1.00000,0.55556,0.31510,0.14323,0.04514,-0.16113
moderate,topological_slam_tamp,4,1.00000,0.55642,0.29948,0.12674,0.04688,-0.12631
moderate,topological_slam_tamp,5,1.00000,0.53646,0.30122,0.14062,0.04427,-0.16334
moderate,topological_slam_tamp,6,1.00000,0.54774,0.29253,0.13802,0.05729,-0.15297
moderate,topological_slam_tamp,7,1.00000,0.56250,0.27257,0.11979,0.05295,-0.09237
moderate,topological_slam_tamp,8,1.00000,0.55035,0.29340,0.12760,0.03993,-0.12182
moderate,topological_slam_tamp,9,1.00000,0.53819,0.29861,0.13889,0.04514,-0.15740
strict,active_view_topology_probe,0,1.00000,0.61458,0.24219,0.10330,0.02083,0.02178
strict,active_view_topology_probe,1,1.00000,0.62760,0.22830,0.09375,0.02344,0.05594
strict,active_view_topology_probe,2,1.00000,0.59983,0.24132,0.08854,0.03385,0.01231
strict,active_view_topology_probe,3,1.00000,0.59201,0.23351,0.10330,0.02951,0.00053
strict,active_view_topology_probe,4,1.00000,0.59201,0.25868,0.09201,0.02604,-0.00798
strict,active_view_topology_probe,5,1.00000,0.59549,0.21354,0.09635,0.02865,0.02834
strict,active_view_topology_probe,6,1.00000,0.62240,0.20052,0.09722,0.02604,0.07193
strict,active_view_topology_probe,7,1.00000,0.59722,0.25868,0.11111,0.02691,-0.02490
strict,active_view_topology_probe,8,1.00000,0.61979,0.25260,0.08420,0.03125,0.03252
strict,active_view_topology_probe,9,1.00000,0.62587,0.22049,0.08420,0.02083,0.07724
strict,conformal_topology_risk_filter,0,0.92014,0.45660,0.34245,0.12547,0.06604,-0.29904
strict,conformal_topology_risk_filter,1,0.92622,0.47798,0.32052,0.11621,0.07216,-0.24697
strict,conformal_topology_risk_filter,2,0.93316,0.47256,0.30884,0.10605,0.06884,-0.22662
strict,conformal_topology_risk_filter,3,0.93403,0.48048,0.33643,0.11152,0.07993,-0.26239
strict,conformal_topology_risk_filter,4,0.93056,0.49347,0.29478,0.13993,0.06343,-0.23002
strict,conformal_topology_risk_filter,5,0.92535,0.45779,0.35272,0.12101,0.06942,-0.30272
strict,conformal_topology_risk_filter,6,0.92882,0.45701,0.33738,0.13645,0.07196,-0.31258
strict,conformal_topology_risk_filter,7,0.92622,0.47329,0.29991,0.12746,0.05717,-0.23089
strict,conformal_topology_risk_filter,8,0.93663,0.49768,0.31325,0.12975,0.07507,-0.24336
strict,conformal_topology_risk_filter,9,0.94184,0.45346,0.31889,0.09770,0.07926,-0.25696
strict,dynamic_scene_graph_transformer_proxy,0,0.99306,0.52185,0.31031,0.12500,0.05944,-0.17810
strict,dynamic_scene_graph_transformer_proxy,1,0.99653,0.53659,0.31446,0.14547,0.04965,-0.18449
strict,dynamic_scene_graph_transformer_proxy,2,0.99392,0.50131,0.33450,0.14934,0.05677,-0.25128
strict,dynamic_scene_graph_transformer_proxy,3,0.99392,0.51790,0.31965,0.14672,0.05240,-0.21508
strict,dynamic_scene_graph_transformer_proxy,4,0.99306,0.51748,0.32692,0.14773,0.06206,-0.23507
strict,dynamic_scene_graph_transformer_proxy,5,0.99566,0.53967,0.33740,0.13688,0.05318,-0.19758
strict,dynamic_scene_graph_transformer_proxy,6,0.99306,0.53846,0.32692,0.12850,0.05157,-0.17416
strict,dynamic_scene_graph_transformer_proxy,7,0.99479,0.52007,0.32373,0.13962,0.05759,-0.21053
strict,dynamic_scene_graph_transformer_proxy,8,0.99566,0.53008,0.31909,0.14124,0.06626,-0.20928
strict,dynamic_scene_graph_transformer_proxy,9,0.99479,0.52705,0.30977,0.17190,0.05236,-0.22530
strict,graph_neural_change_classifier,0,0.96875,0.53405,0.31989,0.15591,0.06900,-0.22792
strict,graph_neural_change_classifier,1,0.95660,0.49456,0.33666,0.15880,0.07260,-0.29033
strict,graph_neural_change_classifier,2,0.96701,0.51167,0.32136,0.16427,0.06822,-0.26118
strict,graph_neural_change_classifier,3,0.96615,0.50404,0.30907,0.15364,0.06289,-0.23582
strict,graph_neural_change_classifier,4,0.96615,0.47889,0.33513,0.15364,0.07996,-0.30495
strict,graph_neural_change_classifier,5,0.96528,0.49910,0.35162,0.14928,0.06835,-0.28567
strict,graph_neural_change_classifier,6,0.95399,0.48317,0.34759,0.14650,0.07734,-0.30122
strict,graph_neural_change_classifier,7,0.96615,0.49236,0.34591,0.15544,0.10243,-0.32415
strict,graph_neural_change_classifier,8,0.95920,0.49140,0.33303,0.16742,0.06516,-0.29086
strict,graph_neural_change_classifier,9,0.96094,0.54472,0.34237,0.14092,0.07588,-0.22552
strict,neural_tamp_replanner,0,1.00000,0.58333,0.28299,0.11892,0.04514,-0.07213
strict,neural_tamp_replanner,1,1.00000,0.55816,0.30990,0.10938,0.04167,-0.10478
strict,neural_tamp_replanner,2,0.99913,0.55951,0.29105,0.12163,0.03910,-0.09972
strict,neural_tamp_replanner,3,0.99913,0.57863,0.27281,0.14509,0.04083,-0.09661
strict,neural_tamp_replanner,4,1.00000,0.54861,0.29774,0.11806,0.05382,-0.12984
strict,neural_tamp_replanner,5,0.99826,0.55478,0.31826,0.10783,0.05391,-0.12782
strict,neural_tamp_replanner,6,1.00000,0.55729,0.30903,0.12934,0.03993,-0.13030
strict,neural_tamp_replanner,7,0.99826,0.56261,0.31043,0.12435,0.05478,-0.13255
strict,neural_tamp_replanner,8,0.99913,0.57950,0.28063,0.12424,0.04518,-0.07885
strict,neural_tamp_replanner,9,1.00000,0.59549,0.27951,0.11111,0.05816,-0.05746
strict,occupancy_delta_replanner,0,0.59896,0.37536,0.37536,0.17681,0.10725,-0.51702
strict,occupancy_delta_replanner,1,0.59549,0.35569,0.35131,0.18367,0.11662,-0.52531
strict,occupancy_delta_replanner,2,0.62413,0.40334,0.35605,0.17385,0.10987,-0.46887
strict,occupancy_delta_replanner,3,0.62587,0.38003,0.38003,0.17892,0.11234,-0.52078
strict,occupancy_delta_replanner,4,0.60243,0.36167,0.35879,0.16282,0.11383,-0.50016
strict,occupancy_delta_replanner,5,0.61285,0.38385,0.35552,0.16997,0.09490,-0.47029
strict,occupancy_delta_replanner,6,0.63021,0.38154,0.37466,0.17631,0.09091,-0.49348
strict,occupancy_delta_replanner,7,0.60851,0.34807,0.39515,0.17404,0.10414,-0.55680
strict,occupancy_delta_replanner,8,0.58507,0.36647,0.37389,0.17804,0.12166,-0.53785
strict,occupancy_delta_replanner,9,0.59809,0.37300,0.39913,0.14804,0.11030,-0.50758
strict,oracle_topology_planner,0,1.00000,0.91406,0.08507,0.01649,0.01215,0.63232
strict,oracle_topology_planner,1,1.00000,0.91840,0.09201,0.01302,0.00955,0.63479
strict,oracle_topology_planner,2,1.00000,0.89236,0.09115,0.01389,0.01302,0.60703
strict,oracle_topology_planner,3,1.00000,0.89497,0.10069,0.01389,0.00521,0.60893
strict,oracle_topology_planner,4,1.00000,0.91146,0.09115,0.01389,0.00868,0.63116
strict,oracle_topology_planner,5,1.00000,0.89497,0.10069,0.02344,0.00781,0.59472
strict,oracle_topology_planner,6,1.00000,0.89757,0.08073,0.01562,0.00955,0.62408
strict,oracle_topology_planner,7,1.00000,0.89236,0.09722,0.01389,0.00694,0.60780
strict,oracle_topology_planner,8,1.00000,0.89062,0.09462,0.02170,0.01042,0.59403
strict,oracle_topology_planner,9,1.00000,0.90017,0.08681,0.01215,0.00955,0.62275
strict,particle_filter_topology_belief_mpc,0,1.00000,0.59028,0.27517,0.11632,0.02691,-0.03643
strict,particle_filter_topology_belief_mpc,1,1.00000,0.59722,0.23698,0.11285,0.01997,0.01812
strict,particle_filter_topology_belief_mpc,2,1.00000,0.58420,0.25000,0.10938,0.03733,-0.01991
strict,particle_filter_topology_belief_mpc,3,1.00000,0.59722,0.23872,0.10938,0.02604,0.01506
strict,particle_filter_topology_belief_mpc,4,1.00000,0.61545,0.25260,0.10764,0.02257,0.02513
strict,particle_filter_topology_belief_mpc,5,1.00000,0.57986,0.24913,0.10330,0.02344,-0.00296
strict,particle_filter_topology_belief_mpc,6,1.00000,0.60503,0.24566,0.09635,0.02517,0.03205
strict,particle_filter_topology_belief_mpc,7,1.00000,0.61024,0.24740,0.10764,0.02604,0.02091
strict,particle_filter_topology_belief_mpc,8,1.00000,0.59983,0.26562,0.10156,0.02778,-0.00137
strict,particle_filter_topology_belief_mpc,9,1.00000,0.60938,0.26823,0.09809,0.02865,0.01195
strict,proposed_topology_change_detector_v4,0,1.00000,0.65712,0.22222,0.07812,0.01562,0.15190
strict,proposed_topology_change_detector_v4,1,1.00000,0.68924,0.22309,0.08767,0.02431,0.16464
strict,proposed_topology_change_detector_v4,2,1.00000,0.65712,0.21962,0.09983,0.02257,0.11777
strict,proposed_topology_change_detector_v4,3,1.00000,0.67361,0.21181,0.09896,0.02170,0.14368
strict,proposed_topology_change_detector_v4,4,1.00000,0.68576,0.21962,0.06510,0.02604,0.18508
strict,proposed_topology_change_detector_v4,5,1.00000,0.66927,0.21267,0.08681,0.02691,0.14839
strict,proposed_topology_change_detector_v4,6,1.00000,0.67361,0.21441,0.08333,0.01823,0.16595
strict,proposed_topology_change_detector_v4,7,1.00000,0.67101,0.21701,0.08160,0.02344,0.15913
strict,proposed_topology_change_detector_v4,8,1.00000,0.68316,0.23524,0.08073,0.01910,0.15836
strict,proposed_topology_change_detector_v4,9,1.00000,0.66406,0.23177,0.08941,0.01910,0.13124
strict,risk_aware_robust_replanner,0,0.94792,0.47070,0.34890,0.11264,0.07234,-0.28039
strict,risk_aware_robust_replanner,1,0.95399,0.43039,0.33667,0.12557,0.08735,-0.34066
strict,risk_aware_robust_replanner,2,0.95312,0.46812,0.32149,0.09745,0.07286,-0.23847
strict,risk_aware_robust_replanner,3,0.95920,0.48326,0.35204,0.12941,0.09864,-0.32115
strict,risk_aware_robust_replanner,4,0.95747,0.47325,0.33454,0.11877,0.08250,-0.28201
strict,risk_aware_robust_replanner,5,0.95399,0.46224,0.37125,0.12284,0.08644,-0.33533
strict,risk_aware_robust_replanner,6,0.95920,0.44253,0.34208,0.13303,0.08507,-0.33992
strict,risk_aware_robust_replanner,7,0.95052,0.46941,0.33973,0.12877,0.08858,-0.31116
strict,risk_aware_robust_replanner,8,0.95139,0.46533,0.32482,0.13960,0.09489,-0.31696
strict,risk_aware_robust_replanner,9,0.95486,0.44545,0.32727,0.15182,0.08455,-0.34343
strict,risk_calibrated_topology_belief_v5,0,1.00000,0.78733,0.14757,0.03385,0.00781,0.42475
strict,risk_calibrated_topology_belief_v5,1,1.00000,0.79601,0.13715,0.04688,0.01302,0.41877
strict,risk_calibrated_topology_belief_v5,2,1.00000,0.80035,0.13281,0.03906,0.01562,0.43551
strict,risk_calibrated_topology_belief_v5,3,1.00000,0.79601,0.13021,0.02257,0.01476,0.45518
strict,risk_calibrated_topology_belief_v5,4,1.00000,0.80382,0.13455,0.03212,0.01128,0.45136
strict,risk_calibrated_topology_belief_v5,5,1.00000,0.77865,0.17101,0.03472,0.01476,0.38355
strict,risk_calibrated_topology_belief_v5,6,1.00000,0.80816,0.13715,0.02431,0.00868,0.46791
strict,risk_calibrated_topology_belief_v5,7,1.00000,0.78212,0.12500,0.04427,0.00955,0.42645
strict,risk_calibrated_topology_belief_v5,8,1.00000,0.80469,0.15365,0.03472,0.01562,0.42471
strict,risk_calibrated_topology_belief_v5,9,1.00000,0.78559,0.15278,0.02257,0.01042,0.43006
strict,topological_slam_tamp,0,0.99913,0.54214,0.28671,0.12511,0.04778,-0.13161
strict,topological_slam_tamp,1,0.99740,0.53786,0.32376,0.12533,0.04700,-0.16538
strict,topological_slam_tamp,2,0.99306,0.55769,0.29371,0.11713,0.05857,-0.11798
strict,topological_slam_tamp,3,0.99826,0.54174,0.29739,0.15043,0.04522,-0.16581
strict,topological_slam_tamp,4,0.99566,0.52659,0.30602,0.13339,0.05057,-0.17331
strict,topological_slam_tamp,5,0.99740,0.56919,0.29939,0.15753,0.03829,-0.14374
strict,topological_slam_tamp,6,0.99653,0.54965,0.29791,0.13502,0.05401,-0.14992
strict,topological_slam_tamp,7,0.99826,0.51565,0.29826,0.14087,0.04957,-0.18768
strict,topological_slam_tamp,8,0.99740,0.53264,0.31158,0.15318,0.04439,-0.19455
strict,topological_slam_tamp,9,0.99392,0.52751,0.31354,0.13188,0.04279,-0.16934
