case_id,task,regime,split,success,invalid_plan,collision_trap,support_failure,topology_f1,dominant_failure,lesson
1,support_dependency_rearrangement,tool_access_tunnel_blockage,combined_extreme,0.16667,0.33333,0.33333,0.16667,0.75000,missed_change_fn,hard tool_access_tunnel_blockage under combined_extreme still needs external validation and better trained topology belief
2,narrow_passage_bin_pick,object_stack_dependency_flip,combined_extreme,0.16667,0.16667,0.33333,0.00000,0.40000,missed_change_fn,hard object_stack_dependency_flip under combined_extreme still needs external validation and better trained topology belief
3,support_dependency_rearrangement,reachable_component_split_merge,combined_extreme,0.16667,0.16667,0.16667,0.00000,0.66667,missed_change_fn,hard reachable_component_split_merge under combined_extreme still needs external validation and better trained topology belief
4,shelf_retrieval,occlusion_reveal_hide,combined_extreme,0.16667,0.16667,0.00000,0.00000,0.40000,missed_change_fn,hard occlusion_reveal_hide under combined_extreme still needs external validation and better trained topology belief
5,support_dependency_rearrangement,tool_access_tunnel_blockage,false_topology_alarm_shift,0.16667,0.00000,0.33333,0.00000,0.57143,missed_change_fn,hard tool_access_tunnel_blockage under false_topology_alarm_shift still needs external validation and better trained topology belief
6,mobile_manipulation_movable_obstacles,dynamic_affordance_inversion,combined_extreme,0.33333,0.66667,0.00000,0.00000,0.75000,invalid_plan,hard dynamic_affordance_inversion under combined_extreme still needs external validation and better trained topology belief
7,mobile_manipulation_movable_obstacles,occlusion_reveal_hide,latency_budget_shift,0.33333,0.50000,0.16667,0.16667,0.57143,missed_change_fn,hard occlusion_reveal_hide under latency_budget_shift still needs external validation and better trained topology belief
8,tool_corridor_reconfiguration,occlusion_reveal_hide,combined_extreme,0.33333,0.50000,0.16667,0.16667,0.33333,missed_change_fn,hard occlusion_reveal_hide under combined_extreme still needs external validation and better trained topology belief
9,narrow_passage_bin_pick,object_stack_dependency_flip,combined_extreme,0.33333,0.50000,0.00000,0.00000,0.40000,missed_change_fn,hard object_stack_dependency_flip under combined_extreme still needs external validation and better trained topology belief
10,shelf_retrieval,passage_closure_opening,combined_extreme,0.33333,0.50000,0.00000,0.00000,0.80000,invalid_plan,hard passage_closure_opening under combined_extreme still needs external validation and better trained topology belief
11,narrow_passage_bin_pick,passage_closure_opening,support_cascade_shift,0.33333,0.33333,0.33333,0.16667,0.80000,invalid_plan,hard passage_closure_opening under support_cascade_shift still needs external validation and better trained topology belief
12,drawer_occluder_access,dynamic_affordance_inversion,support_cascade_shift,0.33333,0.33333,0.00000,0.00000,0.00000,missed_change_fn,hard dynamic_affordance_inversion under support_cascade_shift still needs external validation and better trained topology belief
13,narrow_passage_bin_pick,occlusion_reveal_hide,false_topology_alarm_shift,0.33333,0.33333,0.00000,0.00000,0.66667,false_topology_alarm,hard occlusion_reveal_hide under false_topology_alarm_shift still needs external validation and better trained topology belief
14,shelf_retrieval,occlusion_reveal_hide,combined_extreme,0.33333,0.33333,0.00000,0.00000,0.40000,missed_change_fn,hard occlusion_reveal_hide under combined_extreme still needs external validation and better trained topology belief
15,support_dependency_rearrangement,object_stack_dependency_flip,combined_extreme,0.33333,0.33333,0.00000,0.00000,1.00000,invalid_plan,hard object_stack_dependency_flip under combined_extreme still needs external validation and better trained topology belief
16,support_dependency_rearrangement,support_removal,false_topology_alarm_shift,0.33333,0.33333,0.00000,0.00000,0.00000,missed_change_fn,hard support_removal under false_topology_alarm_shift still needs external validation and better trained topology belief
17,support_dependency_rearrangement,tool_access_tunnel_blockage,combined_extreme,0.33333,0.33333,0.00000,0.00000,0.50000,missed_change_fn,hard tool_access_tunnel_blockage under combined_extreme still needs external validation and better trained topology belief
18,support_dependency_rearrangement,occlusion_reveal_hide,combined_extreme,0.33333,0.16667,0.16667,0.16667,0.40000,missed_change_fn,hard occlusion_reveal_hide under combined_extreme still needs external validation and better trained topology belief
19,drawer_occluder_access,tool_access_tunnel_blockage,latency_budget_shift,0.33333,0.16667,0.16667,0.00000,0.80000,missed_change_fn,hard tool_access_tunnel_blockage under latency_budget_shift still needs external validation and better trained topology belief
20,narrow_passage_bin_pick,object_stack_dependency_flip,latency_budget_shift,0.33333,0.16667,0.00000,0.16667,0.50000,missed_change_fn,hard object_stack_dependency_flip under latency_budget_shift still needs external validation and better trained topology belief
21,support_dependency_rearrangement,support_removal,false_topology_alarm_shift,0.33333,0.16667,0.00000,0.16667,0.40000,missed_change_fn,hard support_removal under false_topology_alarm_shift still needs external validation and better trained topology belief
22,drawer_occluder_access,object_stack_dependency_flip,false_topology_alarm_shift,0.33333,0.16667,0.00000,0.00000,0.40000,missed_change_fn,hard object_stack_dependency_flip under false_topology_alarm_shift still needs external validation and better trained topology belief
23,drawer_occluder_access,passage_closure_opening,false_topology_alarm_shift,0.33333,0.16667,0.00000,0.00000,0.57143,missed_change_fn,hard passage_closure_opening under false_topology_alarm_shift still needs external validation and better trained topology belief
24,mobile_manipulation_movable_obstacles,dynamic_affordance_inversion,combined_extreme,0.33333,0.16667,0.00000,0.00000,0.75000,false_topology_alarm,hard dynamic_affordance_inversion under combined_extreme still needs external validation and better trained topology belief
