method,split,task,family,mean_success,ci95_success,mean_invalid_plan,ci95_invalid_plan,mean_collision_trap,ci95_collision_trap,mean_support_failure,ci95_support_failure,mean_topology_f1,ci95_topology_f1,mean_detection_latency,ci95_detection_latency,mean_replan_cost,ci95_replan_cost,mean_total_cost,ci95_total_cost,groups,mean_regret_to_oracle
graph_neural_change_classifier,combined_stress,narrow_passage_bin_pick,object_stack_dependency_flip,0.5340,0.0468,0.4286,0.0491,0.3061,0.0291,0.1769,0.0462,0.4762,0.0522,0.7228,0.0160,0.1951,0.0037,1.0818,0.0686,7,0.2942
graph_neural_change_classifier,combined_stress,narrow_passage_bin_pick,occlusion_reveal_hide,0.4966,0.0373,0.3861,0.0274,0.2313,0.0509,0.1361,0.0190,0.4371,0.0460,0.7379,0.0088,0.1947,0.0031,0.9202,0.0572,7,0.3129
graph_neural_change_classifier,combined_stress,narrow_passage_bin_pick,passage_closure_opening,0.5527,0.0269,0.4099,0.0423,0.2789,0.0367,0.1361,0.0086,0.4745,0.0213,0.7241,0.0107,0.2005,0.0043,0.9986,0.0637,7,0.2585
graph_neural_change_classifier,combined_stress,narrow_passage_bin_pick,reachable_component_split_merge,0.5170,0.0435,0.4014,0.0214,0.2296,0.0355,0.1616,0.0233,0.4303,0.0303,0.7237,0.0113,0.1909,0.0044,0.9542,0.0584,7,0.3486
graph_neural_change_classifier,combined_stress,narrow_passage_bin_pick,support_removal,0.5306,0.0452,0.3997,0.0370,0.2636,0.0257,0.2245,0.0224,0.4507,0.0351,0.7132,0.0089,0.1962,0.0046,1.0616,0.0489,7,0.3112
graph_neural_change_classifier,combined_stress,narrow_passage_bin_pick,tool_access_tunnel_blockage,0.5578,0.0312,0.3997,0.0329,0.2636,0.0547,0.1293,0.0241,0.4507,0.0339,0.7168,0.0068,0.1895,0.0028,0.9549,0.0580,7,0.2619
graph_neural_change_classifier,combined_stress,shelf_retrieval,kinematic_trap_creation,0.5102,0.0379,0.4048,0.0322,0.2551,0.0283,0.1327,0.0369,0.4558,0.0390,0.7195,0.0125,0.1949,0.0061,0.9588,0.0536,7,0.3282
graph_neural_change_classifier,combined_stress,shelf_retrieval,object_stack_dependency_flip,0.5255,0.0246,0.4184,0.0545,0.2534,0.0268,0.2024,0.0228,0.4524,0.0310,0.7234,0.0151,0.1936,0.0031,1.0404,0.0805,7,0.2925
graph_neural_change_classifier,combined_stress,shelf_retrieval,occlusion_reveal_hide,0.5680,0.0377,0.3759,0.0400,0.2177,0.0413,0.1293,0.0236,0.4626,0.0241,0.7256,0.0117,0.1960,0.0038,0.8907,0.0667,7,0.2143
graph_neural_change_classifier,combined_stress,shelf_retrieval,passage_closure_opening,0.5391,0.0425,0.3622,0.0426,0.2092,0.0426,0.1173,0.0294,0.4541,0.0332,0.7160,0.0103,0.1944,0.0034,0.8557,0.0944,7,0.3061
graph_neural_change_classifier,combined_stress,shelf_retrieval,reachable_component_split_merge,0.5289,0.0321,0.4082,0.0460,0.2398,0.0294,0.1531,0.0262,0.4541,0.0508,0.7189,0.0137,0.1923,0.0028,0.9637,0.0393,7,0.3112
graph_neural_change_classifier,combined_stress,shelf_retrieval,support_removal,0.5068,0.0501,0.4014,0.0514,0.2432,0.0449,0.1599,0.0243,0.4354,0.0475,0.7061,0.0130,0.1941,0.0052,0.9706,0.0761,7,0.3656
graph_neural_change_classifier,combined_stress,shelf_retrieval,tool_access_tunnel_blockage,0.5391,0.0287,0.3810,0.0265,0.1905,0.0288,0.1412,0.0497,0.4371,0.0545,0.7284,0.0112,0.1924,0.0042,0.8740,0.0496,7,0.2602
graph_neural_change_classifier,combined_stress,support_dependency_rearrangement,kinematic_trap_creation,0.5272,0.0400,0.4201,0.0449,0.2415,0.0377,0.1497,0.0329,0.4371,0.0313,0.7137,0.0111,0.1952,0.0051,0.9750,0.0397,7,0.3384
graph_neural_change_classifier,combined_stress,support_dependency_rearrangement,object_stack_dependency_flip,0.5612,0.0324,0.3963,0.0348,0.2534,0.0237,0.1973,0.0305,0.4303,0.0473,0.7213,0.0173,0.1955,0.0048,1.0182,0.0394,7,0.2789
graph_neural_change_classifier,combined_stress,support_dependency_rearrangement,occlusion_reveal_hide,0.4864,0.0528,0.3946,0.0421,0.2347,0.0237,0.1241,0.0215,0.4626,0.0418,0.7250,0.0125,0.1969,0.0023,0.9208,0.0492,7,0.3367
graph_neural_change_classifier,combined_stress,support_dependency_rearrangement,passage_closure_opening,0.5408,0.0617,0.3776,0.0531,0.2177,0.0313,0.1037,0.0220,0.5017,0.0324,0.7170,0.0113,0.1958,0.0030,0.8651,0.0595,7,0.2993
graph_neural_change_classifier,combined_stress,support_dependency_rearrangement,reachable_component_split_merge,0.5306,0.0249,0.4150,0.0436,0.2568,0.0175,0.1786,0.0161,0.4456,0.0269,0.7153,0.0129,0.1950,0.0044,1.0177,0.0559,7,0.2976
graph_neural_change_classifier,combined_stress,support_dependency_rearrangement,support_removal,0.5187,0.0391,0.4133,0.0416,0.2687,0.0309,0.1956,0.0384,0.4983,0.0497,0.7164,0.0082,0.1972,0.0028,1.0494,0.0622,7,0.3333
graph_neural_change_classifier,combined_stress,support_dependency_rearrangement,tool_access_tunnel_blockage,0.5527,0.0292,0.3827,0.0339,0.2449,0.0296,0.1412,0.0290,0.5000,0.0244,0.7234,0.0193,0.1932,0.0030,0.9361,0.0603,7,0.2721
graph_neural_change_classifier,delayed_change_shift,drawer_occluder_access,kinematic_trap_creation,0.5850,0.0372,0.3690,0.0279,0.2041,0.0386,0.1293,0.0406,0.4830,0.0333,0.7257,0.0081,0.1817,0.0038,0.8556,0.0453,7,0.2755
graph_neural_change_classifier,delayed_change_shift,drawer_occluder_access,object_stack_dependency_flip,0.5442,0.0533,0.3231,0.0500,0.2432,0.0432,0.1224,0.0253,0.4881,0.0472,0.7284,0.0114,0.1841,0.0048,0.8549,0.0814,7,0.2602
graph_neural_change_classifier,delayed_change_shift,drawer_occluder_access,occlusion_reveal_hide,0.6156,0.0635,0.3044,0.0360,0.2058,0.0355,0.0918,0.0226,0.4932,0.0461,0.7347,0.0108,0.1903,0.0044,0.7718,0.0751,7,0.1905
graph_neural_change_classifier,delayed_change_shift,drawer_occluder_access,passage_closure_opening,0.6020,0.0264,0.3180,0.0526,0.2058,0.0400,0.1003,0.0221,0.4932,0.0432,0.7228,0.0070,0.1812,0.0041,0.7832,0.0756,7,0.2279
graph_neural_change_classifier,delayed_change_shift,drawer_occluder_access,reachable_component_split_merge,0.6054,0.0497,0.3554,0.0473,0.2296,0.0443,0.1463,0.0237,0.4966,0.0698,0.7344,0.0146,0.1810,0.0047,0.8893,0.0817,7,0.2330
graph_neural_change_classifier,delayed_change_shift,drawer_occluder_access,support_removal,0.5578,0.0479,0.3316,0.0487,0.2160,0.0324,0.1667,0.0288,0.5000,0.0529,0.7367,0.0074,0.1823,0.0039,0.8768,0.0599,7,0.2602
graph_neural_change_classifier,delayed_change_shift,drawer_occluder_access,tool_access_tunnel_blockage,0.5765,0.0582,0.3401,0.0485,0.1684,0.0180,0.0850,0.0303,0.4847,0.0416,0.7381,0.0126,0.1803,0.0056,0.7439,0.0537,7,0.2262
graph_neural_change_classifier,delayed_change_shift,mobile_manipulation_movable_obstacles,kinematic_trap_creation,0.5731,0.0495,0.3537,0.0189,0.2228,0.0253,0.1429,0.0228,0.4728,0.0208,0.7308,0.0061,0.1834,0.0042,0.8792,0.0401,7,0.2704
graph_neural_change_classifier,delayed_change_shift,mobile_manipulation_movable_obstacles,object_stack_dependency_flip,0.6139,0.0238,0.3299,0.0268,0.2228,0.0287,0.1616,0.0264,0.4915,0.0273,0.7133,0.0102,0.1802,0.0028,0.8754,0.0644,7,0.2194
graph_neural_change_classifier,delayed_change_shift,mobile_manipulation_movable_obstacles,occlusion_reveal_hide,0.6020,0.0360,0.3163,0.0485,0.2228,0.0111,0.0986,0.0189,0.4932,0.0325,0.7240,0.0055,0.1800,0.0040,0.7976,0.0633,7,0.2228
graph_neural_change_classifier,delayed_change_shift,mobile_manipulation_movable_obstacles,passage_closure_opening,0.5986,0.0373,0.3367,0.0498,0.2075,0.0196,0.1259,0.0215,0.4779,0.0230,0.7184,0.0057,0.1831,0.0029,0.8297,0.0448,7,0.2211
graph_neural_change_classifier,delayed_change_shift,mobile_manipulation_movable_obstacles,reachable_component_split_merge,0.5663,0.0196,0.3520,0.0341,0.2194,0.0377,0.1241,0.0249,0.5272,0.0268,0.7321,0.0125,0.1825,0.0043,0.8534,0.0641,7,0.3112
graph_neural_change_classifier,delayed_change_shift,mobile_manipulation_movable_obstacles,support_removal,0.6139,0.0301,0.3554,0.0148,0.2143,0.0529,0.1565,0.0246,0.5119,0.0734,0.7253,0.0104,0.1799,0.0052,0.8821,0.0761,7,0.2228
graph_neural_change_classifier,delayed_change_shift,mobile_manipulation_movable_obstacles,tool_access_tunnel_blockage,0.5765,0.0504,0.3639,0.0259,0.2296,0.0337,0.1259,0.0309,0.4796,0.0531,0.7343,0.0110,0.1838,0.0046,0.8778,0.0722,7,0.2398
graph_neural_change_classifier,delayed_change_shift,narrow_passage_bin_pick,kinematic_trap_creation,0.5731,0.0281,0.3520,0.0296,0.2568,0.0387,0.1310,0.0184,0.4677,0.0263,0.7354,0.0121,0.1823,0.0037,0.9016,0.0606,7,0.2619
graph_neural_change_classifier,delayed_change_shift,narrow_passage_bin_pick,object_stack_dependency_flip,0.5408,0.0410,0.3180,0.0313,0.2313,0.0370,0.1412,0.0230,0.4813,0.0557,0.7323,0.0140,0.1816,0.0041,0.8546,0.0572,7,0.2993
graph_neural_change_classifier,delayed_change_shift,narrow_passage_bin_pick,occlusion_reveal_hide,0.5578,0.0271,0.3061,0.0237,0.2126,0.0339,0.1054,0.0193,0.4643,0.0338,0.7329,0.0063,0.1869,0.0042,0.7916,0.0355,7,0.2772
graph_neural_change_classifier,delayed_change_shift,narrow_passage_bin_pick,passage_closure_opening,0.5850,0.0213,0.3810,0.0314,0.2177,0.0425,0.0884,0.0152,0.4813,0.0466,0.7227,0.0119,0.1825,0.0039,0.8386,0.0520,7,0.2551
graph_neural_change_classifier,delayed_change_shift,narrow_passage_bin_pick,reachable_component_split_merge,0.5221,0.0484,0.3452,0.0360,0.2160,0.0559,0.1071,0.0228,0.5425,0.0123,0.7315,0.0172,0.1827,0.0042,0.8263,0.0683,7,0.3010
graph_neural_change_classifier,delayed_change_shift,narrow_passage_bin_pick,support_removal,0.5816,0.0347,0.3776,0.0383,0.2109,0.0159,0.1973,0.0413,0.5255,0.0365,0.7284,0.0100,0.1807,0.0044,0.9407,0.0535,7,0.2908
graph_neural_change_classifier,delayed_change_shift,narrow_passage_bin_pick,tool_access_tunnel_blockage,0.5816,0.0412,0.3384,0.0384,0.2109,0.0370,0.1207,0.0358,0.4660,0.0433,0.7292,0.0076,0.1831,0.0009,0.8295,0.0545,7,0.2466
graph_neural_change_classifier,delayed_change_shift,shelf_retrieval,kinematic_trap_creation,0.5918,0.0159,0.3571,0.0478,0.1990,0.0309,0.1105,0.0380,0.5187,0.0391,0.7269,0.0110,0.1846,0.0057,0.8232,0.0529,7,0.2704
graph_neural_change_classifier,delayed_change_shift,shelf_retrieval,object_stack_dependency_flip,0.5510,0.0263,0.2908,0.0233,0.2160,0.0409,0.1344,0.0337,0.5068,0.0305,0.7288,0.0066,0.1795,0.0055,0.8053,0.0905,7,0.2653
graph_neural_change_classifier,delayed_change_shift,shelf_retrieval,occlusion_reveal_hide,0.5629,0.0232,0.3027,0.0243,0.2024,0.0310,0.0986,0.0208,0.4677,0.0434,0.7239,0.0110,0.1825,0.0026,0.7660,0.0631,7,0.2500
graph_neural_change_classifier,delayed_change_shift,shelf_retrieval,passage_closure_opening,0.5748,0.0446,0.3214,0.0407,0.1854,0.0238,0.1173,0.0320,0.4864,0.0487,0.7155,0.0091,0.1858,0.0054,0.7861,0.0514,7,0.2755
graph_neural_change_classifier,delayed_change_shift,shelf_retrieval,reachable_component_split_merge,0.5697,0.0497,0.3588,0.0459,0.2058,0.0425,0.1037,0.0278,0.4813,0.0483,0.7245,0.0107,0.1854,0.0042,0.8257,0.0451,7,0.2891
graph_neural_change_classifier,delayed_change_shift,shelf_retrieval,support_removal,0.5697,0.0396,0.3469,0.0303,0.2330,0.0215,0.1497,0.0203,0.5034,0.0377,0.7224,0.0104,0.1807,0.0054,0.8890,0.0371,7,0.2789
graph_neural_change_classifier,delayed_change_shift,shelf_retrieval,tool_access_tunnel_blockage,0.5901,0.0112,0.3180,0.0325,0.1973,0.0215,0.1071,0.0184,0.5136,0.0528,0.7248,0.0129,0.1844,0.0054,0.7842,0.0361,7,0.2466
graph_neural_change_classifier,delayed_change_shift,support_dependency_rearrangement,kinematic_trap_creation,0.6139,0.0384,0.3724,0.0208,0.2398,0.0439,0.1395,0.0340,0.4609,0.0422,0.7307,0.0102,0.1865,0.0046,0.9133,0.0733,7,0.2143
graph_neural_change_classifier,delayed_change_shift,support_dependency_rearrangement,object_stack_dependency_flip,0.5493,0.0276,0.3044,0.0441,0.2228,0.0344,0.1395,0.0419,0.4915,0.0366,0.7336,0.0116,0.1827,0.0059,0.8329,0.0503,7,0.2891
graph_neural_change_classifier,delayed_change_shift,support_dependency_rearrangement,occlusion_reveal_hide,0.5799,0.0488,0.3690,0.0367,0.2313,0.0404,0.1088,0.0206,0.4762,0.0314,0.7347,0.0076,0.1879,0.0044,0.8703,0.0474,7,0.2330
graph_neural_change_classifier,delayed_change_shift,support_dependency_rearrangement,passage_closure_opening,0.5935,0.0351,0.3503,0.0238,0.1956,0.0452,0.1088,0.0107,0.4983,0.0430,0.7324,0.0196,0.1796,0.0031,0.8068,0.0511,7,0.2143
graph_neural_change_classifier,delayed_change_shift,support_dependency_rearrangement,reachable_component_split_merge,0.5629,0.0220,0.3435,0.0459,0.2228,0.0226,0.1327,0.0187,0.5119,0.0326,0.7398,0.0073,0.1832,0.0027,0.8596,0.0563,7,0.2602
graph_neural_change_classifier,delayed_change_shift,support_dependency_rearrangement,support_removal,0.5816,0.0406,0.3333,0.0356,0.2330,0.0531,0.1582,0.0268,0.5221,0.0285,0.7150,0.0134,0.1801,0.0029,0.8857,0.0479,7,0.2432
graph_neural_change_classifier,delayed_change_shift,support_dependency_rearrangement,tool_access_tunnel_blockage,0.5646,0.0416,0.3231,0.0503,0.2364,0.0365,0.0969,0.0257,0.4813,0.0370,0.7287,0.0100,0.1796,0.0038,0.8161,0.0507,7,0.2653
graph_neural_change_classifier,embodiment_reach_shift,drawer_occluder_access,kinematic_trap_creation,0.6344,0.0359,0.3435,0.0465,0.1905,0.0441,0.1122,0.0287,0.5680,0.0466,0.5753,0.0058,0.1819,0.0038,0.8013,0.0612,7,0.2636
graph_neural_change_classifier,embodiment_reach_shift,drawer_occluder_access,object_stack_dependency_flip,0.6207,0.0193,0.3656,0.0344,0.2007,0.0262,0.1224,0.0287,0.5136,0.0433,0.5709,0.0094,0.1778,0.0062,0.8379,0.0369,7,0.2364
graph_neural_change_classifier,embodiment_reach_shift,drawer_occluder_access,occlusion_reveal_hide,0.5748,0.0449,0.3384,0.0292,0.1888,0.0372,0.1190,0.0301,0.5442,0.0340,0.5793,0.0123,0.1760,0.0038,0.7963,0.0591,7,0.2602
graph_neural_change_classifier,embodiment_reach_shift,drawer_occluder_access,passage_closure_opening,0.6020,0.0183,0.3537,0.0457,0.1905,0.0432,0.1071,0.0161,0.5323,0.0406,0.5783,0.0033,0.1787,0.0034,0.8014,0.0671,7,0.2772
graph_neural_change_classifier,embodiment_reach_shift,drawer_occluder_access,reachable_component_split_merge,0.5850,0.0347,0.3180,0.0383,0.2024,0.0301,0.1156,0.0348,0.5017,0.0409,0.5761,0.0168,0.1775,0.0038,0.7919,0.0451,7,0.2874
graph_neural_change_classifier,embodiment_reach_shift,drawer_occluder_access,support_removal,0.5357,0.0349,0.3180,0.0352,0.1939,0.0159,0.1344,0.0132,0.5255,0.0241,0.5739,0.0118,0.1819,0.0028,0.8066,0.0411,7,0.3435
graph_neural_change_classifier,embodiment_reach_shift,drawer_occluder_access,tool_access_tunnel_blockage,0.5833,0.0222,0.3452,0.0423,0.1871,0.0268,0.0867,0.0111,0.5340,0.0508,0.5763,0.0116,0.1793,0.0038,0.7696,0.0486,7,0.2602
graph_neural_change_classifier,embodiment_reach_shift,mobile_manipulation_movable_obstacles,kinematic_trap_creation,0.6020,0.0168,0.3350,0.0523,0.2041,0.0219,0.1224,0.0282,0.5476,0.0330,0.5785,0.0110,0.1783,0.0035,0.8161,0.0611,7,0.2755
graph_neural_change_classifier,embodiment_reach_shift,mobile_manipulation_movable_obstacles,object_stack_dependency_flip,0.6037,0.0337,0.3452,0.0551,0.2143,0.0652,0.1224,0.0419,0.5221,0.0624,0.5729,0.0153,0.1783,0.0041,0.8361,0.0883,7,0.2653
graph_neural_change_classifier,embodiment_reach_shift,mobile_manipulation_movable_obstacles,occlusion_reveal_hide,0.6020,0.0423,0.3435,0.0372,0.1973,0.0292,0.0782,0.0152,0.5068,0.0363,0.5815,0.0096,0.1792,0.0049,0.7704,0.0337,7,0.2347
graph_neural_change_classifier,embodiment_reach_shift,mobile_manipulation_movable_obstacles,passage_closure_opening,0.6378,0.0529,0.3146,0.0477,0.1888,0.0312,0.1020,0.0259,0.5051,0.0404,0.5760,0.0150,0.1748,0.0027,0.7570,0.0546,7,0.2449
graph_neural_change_classifier,embodiment_reach_shift,mobile_manipulation_movable_obstacles,reachable_component_split_merge,0.6190,0.0453,0.3656,0.0406,0.2041,0.0299,0.1378,0.0384,0.5051,0.0423,0.5679,0.0164,0.1796,0.0035,0.8596,0.0671,7,0.2517
graph_neural_change_classifier,embodiment_reach_shift,mobile_manipulation_movable_obstacles,support_removal,0.5918,0.0352,0.3316,0.0409,0.2500,0.0204,0.1463,0.0366,0.5255,0.0094,0.5796,0.0125,0.1788,0.0074,0.8893,0.0763,7,0.2296
graph_neural_change_classifier,embodiment_reach_shift,mobile_manipulation_movable_obstacles,tool_access_tunnel_blockage,0.6207,0.0332,0.2976,0.0345,0.2160,0.0332,0.1224,0.0248,0.5816,0.0503,0.5879,0.0096,0.1778,0.0069,0.7969,0.0471,7,0.2568
graph_neural_change_classifier,embodiment_reach_shift,narrow_passage_bin_pick,kinematic_trap_creation,0.5510,0.0508,0.3231,0.0629,0.2415,0.0253,0.1003,0.0227,0.5289,0.0426,0.5708,0.0155,0.1812,0.0032,0.8268,0.0834,7,0.3231
graph_neural_change_classifier,embodiment_reach_shift,narrow_passage_bin_pick,object_stack_dependency_flip,0.5493,0.0343,0.3622,0.0305,0.2160,0.0172,0.1344,0.0226,0.5306,0.0429,0.5675,0.0049,0.1816,0.0039,0.8682,0.0334,7,0.3282
graph_neural_change_classifier,embodiment_reach_shift,narrow_passage_bin_pick,occlusion_reveal_hide,0.6190,0.0338,0.3486,0.0584,0.2160,0.0236,0.1020,0.0221,0.5374,0.0601,0.5917,0.0136,0.1756,0.0019,0.8167,0.0738,7,0.2432
graph_neural_change_classifier,embodiment_reach_shift,narrow_passage_bin_pick,passage_closure_opening,0.6241,0.0413,0.3265,0.0356,0.2194,0.0337,0.0969,0.0200,0.5017,0.0597,0.5836,0.0111,0.1780,0.0048,0.7986,0.0578,7,0.2670
graph_neural_change_classifier,embodiment_reach_shift,narrow_passage_bin_pick,reachable_component_split_merge,0.5731,0.0336,0.3418,0.0337,0.2109,0.0390,0.1139,0.0283,0.5068,0.0356,0.5734,0.0105,0.1804,0.0057,0.8226,0.0713,7,0.2925
graph_neural_change_classifier,embodiment_reach_shift,narrow_passage_bin_pick,support_removal,0.5680,0.0248,0.3282,0.0305,0.1905,0.0338,0.1395,0.0132,0.4915,0.0434,0.5763,0.0110,0.1785,0.0041,0.8135,0.0450,7,0.3197
graph_neural_change_classifier,embodiment_reach_shift,narrow_passage_bin_pick,tool_access_tunnel_blockage,0.5816,0.0299,0.3350,0.0241,0.2143,0.0384,0.0952,0.0184,0.5442,0.0452,0.5821,0.0157,0.1791,0.0067,0.7996,0.0577,7,0.2806
graph_neural_change_classifier,embodiment_reach_shift,shelf_retrieval,kinematic_trap_creation,0.5680,0.0333,0.3554,0.0430,0.1956,0.0227,0.0986,0.0167,0.5476,0.0371,0.5736,0.0135,0.1769,0.0039,0.7977,0.0523,7,0.3231
graph_neural_change_classifier,embodiment_reach_shift,shelf_retrieval,object_stack_dependency_flip,0.5748,0.0562,0.3316,0.0365,0.1956,0.0325,0.1088,0.0139,0.5357,0.0675,0.5819,0.0115,0.1777,0.0054,0.7890,0.0599,7,0.2891
graph_neural_change_classifier,embodiment_reach_shift,shelf_retrieval,occlusion_reveal_hide,0.5884,0.0292,0.3656,0.0431,0.2007,0.0257,0.0799,0.0226,0.5238,0.0239,0.5820,0.0123,0.1824,0.0045,0.7979,0.0539,7,0.2840
graph_neural_change_classifier,embodiment_reach_shift,shelf_retrieval,passage_closure_opening,0.6190,0.0548,0.3367,0.0449,0.1888,0.0324,0.0884,0.0227,0.5510,0.0498,0.5849,0.0100,0.1818,0.0049,0.7685,0.0756,7,0.2347
graph_neural_change_classifier,embodiment_reach_shift,shelf_retrieval,reachable_component_split_merge,0.5952,0.0279,0.3418,0.0457,0.2160,0.0457,0.0986,0.0313,0.5289,0.0493,0.5874,0.0086,0.1781,0.0020,0.8098,0.0906,7,0.2772
graph_neural_change_classifier,embodiment_reach_shift,shelf_retrieval,support_removal,0.5867,0.0253,0.3197,0.0200,0.2245,0.0303,0.1293,0.0180,0.5391,0.0466,0.5844,0.0109,0.1788,0.0055,0.8333,0.0472,7,0.3214
graph_neural_change_classifier,embodiment_reach_shift,shelf_retrieval,tool_access_tunnel_blockage,0.5782,0.0423,0.3112,0.0276,0.1854,0.0410,0.0969,0.0230,0.5102,0.0427,0.5762,0.0150,0.1808,0.0066,0.7510,0.0472,7,0.2789
graph_neural_change_classifier,embodiment_reach_shift,support_dependency_rearrangement,kinematic_trap_creation,0.6344,0.0573,0.3724,0.0344,0.2194,0.0446,0.1156,0.0202,0.5306,0.0550,0.5674,0.0143,0.1805,0.0028,0.8599,0.0568,7,0.2381
graph_neural_change_classifier,embodiment_reach_shift,support_dependency_rearrangement,object_stack_dependency_flip,0.5748,0.0575,0.3537,0.0337,0.2228,0.0273,0.1412,0.0257,0.5391,0.0524,0.5777,0.0153,0.1785,0.0080,0.8725,0.0629,7,0.2653
graph_neural_change_classifier,embodiment_reach_shift,support_dependency_rearrangement,occlusion_reveal_hide,0.5493,0.0290,0.3112,0.0482,0.1837,0.0349,0.0765,0.0196,0.5374,0.0376,0.5869,0.0129,0.1789,0.0050,0.7258,0.0423,7,0.3112
graph_neural_change_classifier,embodiment_reach_shift,support_dependency_rearrangement,passage_closure_opening,0.5680,0.0111,0.3333,0.0426,0.1956,0.0360,0.1071,0.0210,0.5510,0.0337,0.5715,0.0075,0.1808,0.0030,0.7918,0.0601,7,0.2942
graph_neural_change_classifier,embodiment_reach_shift,support_dependency_rearrangement,reachable_component_split_merge,0.5612,0.0271,0.3435,0.0246,0.2075,0.0337,0.1139,0.0233,0.4915,0.0348,0.5776,0.0081,0.1807,0.0061,0.8206,0.0650,7,0.2704
graph_neural_change_classifier,embodiment_reach_shift,support_dependency_rearrangement,support_removal,0.6276,0.0493,0.3622,0.0175,0.2211,0.0488,0.1241,0.0259,0.5306,0.0677,0.5772,0.0166,0.1802,0.0038,0.8616,0.0743,7,0.2585
