method,split,task,family,mean_success,ci95_success,mean_invalid_plan,ci95_invalid_plan,mean_collision_trap,ci95_collision_trap,mean_support_failure,ci95_support_failure,mean_topology_f1,ci95_topology_f1,mean_detection_latency,ci95_detection_latency,mean_replan_cost,ci95_replan_cost,mean_total_cost,ci95_total_cost,groups,mean_regret_to_oracle
graph_neural_change_classifier,combined_stress,drawer_occluder_access,kinematic_trap_creation,0.5374,0.0285,0.4218,0.0296,0.2279,0.0362,0.1378,0.0360,0.4422,0.0200,0.7349,0.0069,0.1972,0.0053,0.9510,0.0573,7,0.2908
graph_neural_change_classifier,combined_stress,drawer_occluder_access,object_stack_dependency_flip,0.5221,0.0436,0.3895,0.0317,0.2432,0.0305,0.1735,0.0313,0.4422,0.0294,0.7224,0.0114,0.1962,0.0061,0.9769,0.0513,7,0.3129
graph_neural_change_classifier,combined_stress,drawer_occluder_access,occlusion_reveal_hide,0.5357,0.0469,0.3963,0.0425,0.2245,0.0320,0.1497,0.0301,0.4541,0.0406,0.7260,0.0106,0.1954,0.0034,0.9363,0.0359,7,0.2687
graph_neural_change_classifier,combined_stress,drawer_occluder_access,passage_closure_opening,0.5374,0.0545,0.4099,0.0215,0.2466,0.0410,0.1054,0.0276,0.4643,0.0488,0.7178,0.0130,0.1953,0.0015,0.9256,0.0376,7,0.3163
graph_neural_change_classifier,combined_stress,drawer_occluder_access,reachable_component_split_merge,0.5442,0.0400,0.4116,0.0475,0.2551,0.0112,0.1616,0.0341,0.4796,0.0329,0.7255,0.0105,0.1945,0.0032,0.9946,0.0616,7,0.3044
graph_neural_change_classifier,combined_stress,drawer_occluder_access,support_removal,0.5306,0.0555,0.4031,0.0320,0.2721,0.0430,0.2041,0.0424,0.4745,0.0503,0.7195,0.0105,0.1891,0.0037,1.0453,0.0590,7,0.3027
graph_neural_change_classifier,combined_stress,drawer_occluder_access,tool_access_tunnel_blockage,0.5323,0.0390,0.3520,0.0569,0.2211,0.0329,0.1224,0.0237,0.4541,0.0206,0.7308,0.0158,0.1952,0.0053,0.8662,0.0715,7,0.2976
graph_neural_change_classifier,combined_stress,mobile_manipulation_movable_obstacles,kinematic_trap_creation,0.5170,0.0475,0.3929,0.0345,0.2568,0.0370,0.1531,0.0236,0.4439,0.0268,0.7039,0.0090,0.1932,0.0039,0.9704,0.0563,7,0.2959
graph_neural_change_classifier,combined_stress,mobile_manipulation_movable_obstacles,object_stack_dependency_flip,0.5119,0.0574,0.4337,0.0274,0.2381,0.0310,0.1820,0.0425,0.4745,0.0547,0.7274,0.0145,0.1914,0.0052,1.0130,0.0507,7,0.3367
graph_neural_change_classifier,combined_stress,mobile_manipulation_movable_obstacles,occlusion_reveal_hide,0.5102,0.0487,0.3895,0.0325,0.2602,0.0362,0.1327,0.0369,0.4762,0.0384,0.7314,0.0120,0.1974,0.0050,0.9539,0.0394,7,0.2738
graph_neural_change_classifier,combined_stress,mobile_manipulation_movable_obstacles,passage_closure_opening,0.5680,0.0258,0.4286,0.0239,0.2517,0.0406,0.1276,0.0300,0.4626,0.0500,0.7137,0.0127,0.1918,0.0034,0.9669,0.0564,7,0.2636
graph_neural_change_classifier,combined_stress,mobile_manipulation_movable_obstacles,reachable_component_split_merge,0.5306,0.0435,0.3690,0.0301,0.2585,0.0258,0.1276,0.0366,0.4592,0.0278,0.7199,0.0142,0.1984,0.0035,0.9304,0.0764,7,0.2823
graph_neural_change_classifier,combined_stress,mobile_manipulation_movable_obstacles,support_removal,0.5765,0.0429,0.3878,0.0274,0.2704,0.0524,0.1837,0.0287,0.4507,0.0537,0.7102,0.0114,0.1952,0.0048,1.0151,0.0614,7,0.2585
graph_neural_change_classifier,combined_stress,mobile_manipulation_movable_obstacles,tool_access_tunnel_blockage,0.5442,0.0657,0.3724,0.0287,0.2551,0.0432,0.1310,0.0318,0.4779,0.0193,0.7130,0.0099,0.1963,0.0085,0.9310,0.0770,7,0.2296
graph_neural_change_classifier,combined_stress,narrow_passage_bin_pick,kinematic_trap_creation,0.5238,0.0472,0.3946,0.0518,0.2670,0.0466,0.1463,0.0419,0.4575,0.0416,0.7188,0.0093,0.1938,0.0046,0.9764,0.0757,7,0.3180
