budget,method,groups,mean_coverage,ci95_coverage,mean_success,ci95_success,mean_invalid_plan,ci95_invalid_plan,mean_collision_trap,ci95_collision_trap,mean_support_failure,ci95_support_failure,mean_utility,ci95_utility
moderate,active_view_topology_probe,10,1.00000,0.00000,0.61354,0.00699,0.23351,0.00859,0.09696,0.00563,0.02535,0.00299,0.03224,0.01026
moderate,conformal_topology_risk_filter,10,1.00000,0.00000,0.46024,0.01165,0.35382,0.00717,0.13316,0.00658,0.07778,0.00398,-0.32588,0.02052
moderate,dynamic_scene_graph_transformer_proxy,10,1.00000,0.00000,0.53194,0.00966,0.31979,0.01145,0.14514,0.00534,0.05677,0.00273,-0.20179,0.01273
moderate,graph_neural_change_classifier,10,1.00000,0.00000,0.49184,0.00937,0.34583,0.00982,0.16450,0.00555,0.07752,0.00529,-0.31251,0.01075
moderate,neural_tamp_replanner,10,1.00000,0.00000,0.56736,0.01180,0.29167,0.00666,0.12248,0.00663,0.04792,0.00360,-0.10338,0.01830
moderate,occupancy_delta_replanner,10,0.98464,0.00211,0.32767,0.00945,0.43132,0.00920,0.20752,0.00975,0.14679,0.00540,-0.68626,0.02474
moderate,oracle_topology_planner,10,1.00000,0.00000,0.90269,0.00483,0.08819,0.00493,0.01849,0.00262,0.00955,0.00154,0.61689,0.00626
moderate,particle_filter_topology_belief_mpc,10,1.00000,0.00000,0.59488,0.01032,0.26111,0.00394,0.10434,0.00556,0.02370,0.00193,-0.00065,0.01637
moderate,proposed_topology_change_detector_v4,10,1.00000,0.00000,0.67092,0.01042,0.21042,0.00771,0.08455,0.00611,0.02248,0.00223,0.16070,0.01248
moderate,risk_aware_robust_replanner,10,1.00000,0.00000,0.44627,0.00989,0.35347,0.00527,0.13854,0.00591,0.09375,0.00452,-0.36382,0.01530
moderate,risk_calibrated_topology_belief_v5,10,1.00000,0.00000,0.79375,0.00561,0.13898,0.00645,0.03481,0.00331,0.01458,0.00189,0.42922,0.01091
moderate,topological_slam_tamp,10,1.00000,0.00000,0.54688,0.00636,0.30174,0.00888,0.13333,0.00614,0.04878,0.00435,-0.14854,0.01853
strict,active_view_topology_probe,10,1.00000,0.00000,0.60868,0.00910,0.23498,0.01210,0.09540,0.00542,0.02674,0.00265,0.02677,0.02094
strict,conformal_topology_risk_filter,10,0.93030,0.00391,0.47203,0.00977,0.32252,0.01186,0.12115,0.00830,0.07033,0.00435,-0.26115,0.02005
strict,dynamic_scene_graph_transformer_proxy,10,0.99444,0.00077,0.52505,0.00734,0.32228,0.00585,0.14324,0.00801,0.05613,0.00327,-0.20809,0.01555
strict,graph_neural_change_classifier,10,0.96302,0.00310,0.50340,0.01321,0.33426,0.00851,0.15458,0.00489,0.07418,0.00701,-0.27476,0.02166
strict,neural_tamp_replanner,10,0.99939,0.00044,0.56779,0.00946,0.29523,0.00992,0.12099,0.00683,0.04725,0.00445,-0.10301,0.01681
strict,occupancy_delta_replanner,10,0.60816,0.00922,0.37290,0.00982,0.37199,0.01030,0.17225,0.00631,0.10818,0.00585,-0.50981,0.01730
strict,oracle_topology_planner,10,1.00000,0.00000,0.90069,0.00628,0.09201,0.00407,0.01580,0.00235,0.00929,0.00144,0.61576,0.00945
strict,particle_filter_topology_belief_mpc,10,1.00000,0.00000,0.59887,0.00718,0.25295,0.00788,0.10625,0.00394,0.02639,0.00287,0.00625,0.01329
strict,proposed_topology_change_detector_v4,10,1.00000,0.00000,0.67240,0.00694,0.22075,0.00481,0.08516,0.00627,0.02170,0.00225,0.15261,0.01173
strict,risk_aware_robust_replanner,10,0.95417,0.00229,0.46107,0.01012,0.33988,0.00919,0.12599,0.00918,0.08532,0.00513,-0.31095,0.02121
strict,risk_calibrated_topology_belief_v5,10,1.00000,0.00000,0.79427,0.00637,0.14219,0.00862,0.03351,0.00528,0.01215,0.00185,0.43183,0.01443
strict,topological_slam_tamp,10,0.99670,0.00121,0.54007,0.00981,0.30283,0.00676,0.13699,0.00825,0.04782,0.00358,-0.15993,0.01493
