method,seed,rows,success,invalid_plan,collision_trap,support_failure,topology_f1,missed_change_fn,false_topology_alarm,detection_latency,replan_cost,topology_risk_ece,utility,regret
active_view_topology_probe,0,1152,0.62066,0.25174,0.10330,0.01649,0.65127,0.45769,0.25806,0.64567,0.31464,0.36065,0.02303,0.28299
active_view_topology_probe,1,1152,0.59288,0.21875,0.09549,0.02865,0.66198,0.44863,0.22977,0.64567,0.31464,0.34067,0.02484,0.31337
active_view_topology_probe,2,1152,0.61719,0.22396,0.08681,0.01997,0.64706,0.45644,0.27415,0.64567,0.31464,0.33305,0.06151,0.27517
active_view_topology_probe,3,1152,0.59983,0.23003,0.08420,0.02170,0.63799,0.45868,0.26526,0.64567,0.31464,0.33800,0.03856,0.29861
active_view_topology_probe,4,1152,0.59375,0.24913,0.08507,0.01997,0.62350,0.49086,0.24611,0.64567,0.31464,0.34618,0.01789,0.31076
active_view_topology_probe,5,1152,0.61198,0.27170,0.09722,0.03212,0.64747,0.46392,0.24734,0.64567,0.31464,0.37645,-0.01296,0.30729
active_view_topology_probe,6,1152,0.59635,0.25347,0.09722,0.02604,0.64346,0.47541,0.23398,0.64567,0.31464,0.36536,-0.00348,0.30295
active_view_topology_probe,7,1152,0.59115,0.22743,0.08767,0.02691,0.64606,0.45855,0.27368,0.64567,0.31464,0.34188,0.02395,0.31944
active_view_topology_probe,8,1152,0.61892,0.22309,0.09375,0.02517,0.64692,0.46280,0.27298,0.64567,0.31464,0.33496,0.05101,0.28559
active_view_topology_probe,9,1152,0.60069,0.24653,0.10417,0.02691,0.65028,0.46053,0.23214,0.64567,0.31464,0.35764,-0.00323,0.30903
conformal_topology_risk_filter,0,1152,0.47743,0.34983,0.12326,0.08681,0.37051,0.74379,0.25065,0.77727,0.25035,0.46247,-0.30369,0.42622
conformal_topology_risk_filter,1,1152,0.44705,0.35590,0.13281,0.07378,0.39227,0.73072,0.22715,0.77727,0.25035,0.46184,-0.33577,0.45920
conformal_topology_risk_filter,2,1152,0.43750,0.36458,0.13976,0.08073,0.41580,0.71336,0.18635,0.77727,0.25035,0.46516,-0.36781,0.45486
conformal_topology_risk_filter,3,1152,0.45486,0.32812,0.12934,0.06944,0.42351,0.70171,0.21483,0.77727,0.25035,0.44179,-0.29298,0.44358
conformal_topology_risk_filter,4,1152,0.47917,0.35417,0.10503,0.07726,0.39344,0.72693,0.25208,0.77727,0.25035,0.45569,-0.27233,0.42535
conformal_topology_risk_filter,5,1152,0.47483,0.34462,0.14062,0.07639,0.41643,0.71151,0.19789,0.77727,0.25035,0.45834,-0.30867,0.44444
conformal_topology_risk_filter,6,1152,0.44878,0.35938,0.12587,0.07205,0.41950,0.70769,0.21237,0.77727,0.25035,0.46029,-0.32636,0.45052
conformal_topology_risk_filter,7,1152,0.44792,0.35677,0.13194,0.06944,0.40146,0.72187,0.23546,0.77727,0.25035,0.45716,-0.33055,0.46267
conformal_topology_risk_filter,8,1152,0.46441,0.35590,0.15017,0.08420,0.38440,0.74003,0.19200,0.77727,0.25035,0.46941,-0.34948,0.44010
conformal_topology_risk_filter,9,1152,0.44965,0.36285,0.11806,0.07465,0.38187,0.73670,0.21750,0.77727,0.25035,0.45986,-0.32301,0.46007
dynamic_scene_graph_transformer_proxy,0,1152,0.52431,0.32118,0.14149,0.06424,0.48694,0.63510,0.29444,0.76347,0.20770,0.45074,-0.21223,0.37934
dynamic_scene_graph_transformer_proxy,1,1152,0.51562,0.30903,0.13889,0.06597,0.53333,0.57975,0.33978,0.76347,0.20770,0.43802,-0.21059,0.39062
dynamic_scene_graph_transformer_proxy,2,1152,0.51910,0.32552,0.13628,0.05816,0.48635,0.63065,0.33427,0.76347,0.20770,0.44535,-0.21071,0.37326
dynamic_scene_graph_transformer_proxy,3,1152,0.52257,0.30816,0.14757,0.05295,0.51274,0.60000,0.33602,0.76347,0.20770,0.44008,-0.20032,0.37587
dynamic_scene_graph_transformer_proxy,4,1152,0.53646,0.32031,0.13455,0.07639,0.50373,0.60925,0.33422,0.76347,0.20770,0.44947,-0.20630,0.36806
dynamic_scene_graph_transformer_proxy,5,1152,0.51910,0.30816,0.15625,0.05122,0.52443,0.59085,0.32603,0.76347,0.20770,0.45082,-0.21188,0.40017
dynamic_scene_graph_transformer_proxy,6,1152,0.55035,0.32292,0.14149,0.06858,0.51977,0.59548,0.33989,0.76347,0.20770,0.44504,-0.19474,0.34896
dynamic_scene_graph_transformer_proxy,7,1152,0.52604,0.29774,0.14062,0.06163,0.53398,0.58175,0.32231,0.76347,0.20770,0.43098,-0.18613,0.38455
dynamic_scene_graph_transformer_proxy,8,1152,0.52691,0.31337,0.13889,0.06944,0.48480,0.63671,0.29558,0.76347,0.20770,0.45017,-0.20458,0.37760
dynamic_scene_graph_transformer_proxy,9,1152,0.52691,0.31684,0.14497,0.04948,0.51217,0.58950,0.34963,0.76347,0.20770,0.44475,-0.20013,0.38281
graph_neural_change_classifier,0,1152,0.49479,0.34115,0.16927,0.06250,0.46905,0.64418,0.30808,0.78427,0.19983,0.47011,-0.29562,0.40885
graph_neural_change_classifier,1,1152,0.47917,0.34288,0.15278,0.07812,0.45462,0.65800,0.32637,0.78427,0.19983,0.47724,-0.30916,0.42708
graph_neural_change_classifier,2,1152,0.48611,0.33160,0.15191,0.08420,0.47579,0.63777,0.32718,0.78427,0.19983,0.46715,-0.29663,0.40625
graph_neural_change_classifier,3,1152,0.49132,0.34896,0.16840,0.08160,0.46712,0.64442,0.34853,0.78427,0.19983,0.48406,-0.32673,0.40712
graph_neural_change_classifier,4,1152,0.52344,0.31076,0.15712,0.09896,0.47364,0.63995,0.34426,0.78427,0.19983,0.47453,-0.26183,0.38108
