seed,rows,success,invalid_plan,collision_trap,support_failure,topology_f1,missed_change_fn,false_topology_alarm,detection_latency,replan_cost,topology_risk_ece,utility,regret,ablation
1,1152,0.67361,0.19705,0.05903,0.01823,0.66507,0.46263,0.16223,0.63407,0.23074,0.27712,0.22019,0.00000,no_support_edge_memory
2,1152,0.70312,0.20226,0.05469,0.01910,0.63082,0.50690,0.15775,0.63407,0.23074,0.28038,0.25005,0.00000,no_support_edge_memory
3,1152,0.70139,0.21701,0.06597,0.02431,0.64943,0.47927,0.16842,0.63407,0.23074,0.29812,0.21347,0.00000,no_support_edge_memory
4,1152,0.68142,0.21441,0.06424,0.02431,0.65613,0.47799,0.15406,0.63407,0.23074,0.29877,0.19955,0.00000,no_support_edge_memory
5,1152,0.71528,0.21354,0.06944,0.01910,0.64573,0.48787,0.15718,0.63407,0.23074,0.29883,0.23272,0.00000,no_support_edge_memory
6,1152,0.69531,0.20747,0.07031,0.01997,0.64200,0.49042,0.16531,0.63407,0.23074,0.28781,0.21606,0.00000,no_support_edge_memory
7,1152,0.69271,0.21701,0.05469,0.01997,0.63597,0.50000,0.12619,0.63407,0.23074,0.28919,0.22517,0.00000,no_support_edge_memory
8,1152,0.68142,0.19792,0.06076,0.02170,0.64610,0.47837,0.18252,0.63407,0.23074,0.28377,0.21980,0.00000,no_support_edge_memory
9,1152,0.70660,0.16406,0.06510,0.02604,0.65147,0.47984,0.15405,0.63407,0.23074,0.26011,0.26902,0.00000,no_support_edge_memory
0,1152,0.72222,0.16580,0.06076,0.01302,0.71545,0.37789,0.24332,0.63207,0.22759,0.25116,0.29853,0.00000,no_topology_risk_calibration
1,1152,0.72830,0.17274,0.07031,0.00955,0.71039,0.37726,0.26720,0.63207,0.22759,0.26448,0.28816,0.00000,no_topology_risk_calibration
2,1152,0.70226,0.17274,0.07552,0.01910,0.70235,0.37549,0.30649,0.63207,0.22759,0.27115,0.24293,0.00000,no_topology_risk_calibration
3,1152,0.72656,0.18142,0.06076,0.01649,0.73472,0.35480,0.24444,0.63207,0.22759,0.26360,0.28485,0.00000,no_topology_risk_calibration
4,1152,0.71181,0.17188,0.06337,0.02431,0.68209,0.40495,0.29948,0.63207,0.22759,0.26377,0.26349,0.00000,no_topology_risk_calibration
5,1152,0.72135,0.17188,0.05295,0.01997,0.68687,0.39700,0.26730,0.63207,0.22759,0.25826,0.29109,0.00000,no_topology_risk_calibration
6,1152,0.72656,0.16493,0.08247,0.02344,0.70322,0.38491,0.28378,0.63207,0.22759,0.27064,0.26345,0.00000,no_topology_risk_calibration
7,1152,0.71615,0.18663,0.06337,0.01736,0.70000,0.38581,0.28912,0.63207,0.22759,0.27845,0.26204,0.00000,no_topology_risk_calibration
8,1152,0.74045,0.20139,0.05642,0.01476,0.69138,0.39789,0.26972,0.63207,0.22759,0.27877,0.28421,0.00000,no_topology_risk_calibration
9,1152,0.73177,0.17795,0.08160,0.01649,0.69007,0.40387,0.27056,0.63207,0.22759,0.28336,0.26513,0.00000,no_topology_risk_calibration
0,1152,0.54340,0.30729,0.13455,0.04601,0.54859,0.56305,0.35613,0.76407,0.21134,0.43603,-0.15655,0.00000,topological_slam_only
1,1152,0.53299,0.30729,0.13802,0.05382,0.51990,0.60100,0.31143,0.76407,0.21134,0.44007,-0.17701,0.00000,topological_slam_only
2,1152,0.56337,0.27951,0.13542,0.04774,0.54799,0.57014,0.28800,0.76407,0.21134,0.41927,-0.11045,0.00000,topological_slam_only
3,1152,0.54427,0.32205,0.13976,0.04340,0.51043,0.59684,0.34097,0.76407,0.21134,0.44437,-0.17488,0.00000,topological_slam_only
4,1152,0.52865,0.30035,0.14931,0.05556,0.53156,0.59027,0.27763,0.76407,0.21134,0.44382,-0.18974,0.00000,topological_slam_only
5,1152,0.54514,0.30208,0.14236,0.05295,0.52855,0.58301,0.33333,0.76407,0.21134,0.43498,-0.16692,0.00000,topological_slam_only
6,1152,0.56250,0.31076,0.12847,0.03212,0.52408,0.58581,0.34218,0.76407,0.21134,0.42803,-0.11920,0.00000,topological_slam_only
7,1152,0.51736,0.31510,0.13194,0.04948,0.53092,0.58398,0.30952,0.76407,0.21134,0.43567,-0.18915,0.00000,topological_slam_only
8,1152,0.54427,0.29514,0.12066,0.04427,0.51500,0.59449,0.33077,0.76407,0.21134,0.42112,-0.12558,0.00000,topological_slam_only
9,1152,0.55642,0.31424,0.14149,0.04253,0.52145,0.59383,0.31551,0.76407,0.21134,0.43983,-0.15406,0.00000,topological_slam_only
0,1152,0.68056,0.21094,0.07118,0.02170,0.63572,0.46348,0.28571,0.68867,0.21767,0.30357,0.18523,0.00000,v4_topology_detector_rules
1,1152,0.68316,0.20747,0.09549,0.01649,0.66973,0.41965,0.28822,0.68867,0.21767,0.31873,0.16607,0.00000,v4_topology_detector_rules
2,1152,0.66753,0.23785,0.08073,0.01562,0.63833,0.46710,0.28117,0.68867,0.21767,0.33086,0.14234,0.00000,v4_topology_detector_rules
3,1152,0.67448,0.20660,0.07465,0.02691,0.65690,0.44747,0.26247,0.68867,0.21767,0.30930,0.17566,0.00000,v4_topology_detector_rules
4,1152,0.66493,0.22049,0.08160,0.02604,0.63142,0.47815,0.27273,0.68867,0.21767,0.32189,0.14483,0.00000,v4_topology_detector_rules
5,1152,0.68490,0.19965,0.08854,0.02170,0.63741,0.46718,0.28800,0.68867,0.21767,0.31563,0.17953,0.00000,v4_topology_detector_rules
6,1152,0.67361,0.22569,0.07031,0.02604,0.64280,0.47316,0.25641,0.68867,0.21767,0.32187,0.16455,0.00000,v4_topology_detector_rules
7,1152,0.67274,0.21094,0.08160,0.01736,0.65187,0.46482,0.23876,0.68867,0.21767,0.31312,0.17349,0.00000,v4_topology_detector_rules
8,1152,0.68403,0.22222,0.08507,0.02344,0.64165,0.47096,0.26389,0.68867,0.21767,0.33192,0.16177,0.00000,v4_topology_detector_rules
9,1152,0.65625,0.19271,0.09809,0.01649,0.66354,0.44661,0.22917,0.68867,0.21767,0.30708,0.15414,0.00000,v4_topology_detector_rules
