seed,rows,success,invalid_plan,collision_trap,support_failure,topology_f1,missed_change_fn,false_topology_alarm,detection_latency,replan_cost,topology_risk_ece,utility,regret,ablation
0,1152,0.78993,0.14149,0.03906,0.01649,0.74068,0.36569,0.14750,0.61527,0.23865,0.19498,0.41563,0.00000,full_risk_calibrated_topology_belief_v5
1,1152,0.79688,0.12674,0.03299,0.01476,0.74735,0.36340,0.13830,0.61527,0.23865,0.17680,0.44710,0.00000,full_risk_calibrated_topology_belief_v5
2,1152,0.78559,0.14497,0.03472,0.01649,0.74963,0.36272,0.13966,0.61527,0.23865,0.19391,0.41482,0.00000,full_risk_calibrated_topology_belief_v5
3,1152,0.80729,0.12674,0.02517,0.01562,0.75562,0.35385,0.13441,0.61527,0.23865,0.17594,0.46669,0.00000,full_risk_calibrated_topology_belief_v5
4,1152,0.79948,0.12153,0.03472,0.01736,0.76042,0.33636,0.16492,0.61527,0.23865,0.17848,0.44803,0.00000,full_risk_calibrated_topology_belief_v5
5,1152,0.78038,0.13889,0.04340,0.01476,0.76777,0.33503,0.14560,0.61527,0.23865,0.19321,0.40589,0.00000,full_risk_calibrated_topology_belief_v5
6,1152,0.80295,0.15017,0.03385,0.01649,0.73846,0.37337,0.13990,0.61527,0.23865,0.20045,0.42769,0.00000,full_risk_calibrated_topology_belief_v5
7,1152,0.78906,0.15278,0.05729,0.01910,0.71395,0.40551,0.13846,0.61527,0.23865,0.21292,0.37930,0.00000,full_risk_calibrated_topology_belief_v5
8,1152,0.80816,0.13976,0.03038,0.01215,0.74184,0.35628,0.16545,0.61527,0.23865,0.18764,0.44951,0.00000,full_risk_calibrated_topology_belief_v5
9,1152,0.79861,0.14062,0.03646,0.01302,0.73588,0.36579,0.17347,0.61527,0.23865,0.19303,0.43063,0.00000,full_risk_calibrated_topology_belief_v5
0,1152,0.66840,0.21788,0.08073,0.02344,0.69936,0.42231,0.14035,0.69247,0.24404,0.30498,0.15131,0.00000,no_action_conditioning
1,1152,0.66493,0.20312,0.08247,0.01562,0.68740,0.43660,0.14987,0.69247,0.24404,0.30114,0.16758,0.00000,no_action_conditioning
2,1152,0.66059,0.21615,0.07726,0.02170,0.67255,0.46419,0.12162,0.69247,0.24404,0.30389,0.15303,0.00000,no_action_conditioning
3,1152,0.63889,0.23177,0.06597,0.01910,0.66454,0.45904,0.17493,0.69247,0.24404,0.30641,0.12989,0.00000,no_action_conditioning
4,1152,0.65799,0.21528,0.07986,0.01562,0.68553,0.43377,0.17277,0.69247,0.24404,0.30179,0.15110,0.00000,no_action_conditioning
5,1152,0.63194,0.22743,0.07552,0.02604,0.68156,0.44256,0.15544,0.69247,0.24404,0.31008,0.10893,0.00000,no_action_conditioning
6,1152,0.66753,0.22049,0.06597,0.01736,0.65174,0.47739,0.15250,0.69247,0.24404,0.29922,0.17202,0.00000,no_action_conditioning
7,1152,0.66927,0.21267,0.07726,0.01823,0.69436,0.43423,0.13550,0.69247,0.24404,0.30000,0.16788,0.00000,no_action_conditioning
8,1152,0.65799,0.23177,0.08160,0.01476,0.66294,0.46589,0.16000,0.69247,0.24404,0.31864,0.13511,0.00000,no_action_conditioning
9,1152,0.66667,0.17795,0.07639,0.01736,0.68404,0.43984,0.15831,0.69247,0.24404,0.27421,0.19869,0.00000,no_action_conditioning
0,1152,0.74653,0.16667,0.05469,0.01215,0.69206,0.42252,0.17380,0.67367,0.18884,0.23850,0.34369,0.00000,no_active_topology_probe
1,1152,0.74219,0.17535,0.05295,0.02257,0.69348,0.42989,0.14141,0.67367,0.18884,0.24733,0.32437,0.00000,no_active_topology_probe
2,1152,0.73003,0.16580,0.03906,0.01302,0.71231,0.40641,0.15323,0.67367,0.18884,0.22354,0.34852,0.00000,no_active_topology_probe
3,1152,0.69965,0.19792,0.04167,0.01997,0.70399,0.41529,0.16349,0.67367,0.18884,0.25444,0.27661,0.00000,no_active_topology_probe
4,1152,0.73958,0.16840,0.04861,0.02344,0.67464,0.46046,0.12772,0.67367,0.18884,0.23833,0.33428,0.00000,no_active_topology_probe
5,1152,0.74479,0.16927,0.05816,0.02431,0.65158,0.46481,0.20301,0.67367,0.18884,0.24689,0.32051,0.00000,no_active_topology_probe
6,1152,0.71181,0.17622,0.06163,0.01649,0.69316,0.43450,0.13386,0.67367,0.18884,0.24425,0.28948,0.00000,no_active_topology_probe
7,1152,0.74306,0.15712,0.04427,0.01823,0.68489,0.42432,0.18932,0.67367,0.18884,0.22424,0.35453,0.00000,no_active_topology_probe
8,1152,0.74479,0.17188,0.05295,0.01476,0.69162,0.42722,0.15122,0.67367,0.18884,0.23826,0.33754,0.00000,no_active_topology_probe
9,1152,0.73438,0.17448,0.04340,0.01302,0.68215,0.44021,0.15857,0.67367,0.18884,0.23613,0.33841,0.00000,no_active_topology_probe
0,1152,0.71354,0.22830,0.06163,0.02170,0.66825,0.44342,0.21173,0.64407,0.22529,0.30127,0.22096,0.00000,no_occlusion_persistence
1,1152,0.70833,0.19531,0.05816,0.01302,0.67244,0.43742,0.21374,0.64407,0.22529,0.27470,0.26039,0.00000,no_occlusion_persistence
2,1152,0.72135,0.19792,0.06250,0.02431,0.68530,0.42876,0.17955,0.64407,0.22529,0.28594,0.25554,0.00000,no_occlusion_persistence
3,1152,0.69358,0.19444,0.05295,0.01910,0.68998,0.42710,0.18037,0.64407,0.22529,0.26980,0.24909,0.00000,no_occlusion_persistence
4,1152,0.68663,0.21181,0.04861,0.02431,0.67860,0.43523,0.20263,0.64407,0.22529,0.28308,0.22420,0.00000,no_occlusion_persistence
5,1152,0.70139,0.21094,0.05295,0.02951,0.65978,0.47468,0.14641,0.64407,0.22529,0.28440,0.23264,0.00000,no_occlusion_persistence
6,1152,0.71267,0.20312,0.06337,0.02951,0.62748,0.48635,0.24804,0.64407,0.22529,0.28982,0.23176,0.00000,no_occlusion_persistence
7,1152,0.68403,0.21441,0.07292,0.02083,0.67832,0.44401,0.16667,0.64407,0.22529,0.28947,0.19442,0.00000,no_occlusion_persistence
8,1152,0.71528,0.17795,0.04688,0.02083,0.67201,0.42524,0.23404,0.64407,0.22529,0.25593,0.28739,0.00000,no_occlusion_persistence
9,1152,0.72483,0.18403,0.05990,0.01562,0.67151,0.44311,0.18765,0.64407,0.22529,0.26705,0.28395,0.00000,no_occlusion_persistence
0,1152,0.69184,0.18837,0.05903,0.02257,0.68580,0.43622,0.17120,0.63767,0.23044,0.26735,0.24148,0.00000,no_passage_homology
1,1152,0.70226,0.19097,0.06771,0.02517,0.68335,0.44473,0.15068,0.63767,0.23044,0.27461,0.23708,0.00000,no_passage_homology
2,1152,0.70920,0.18316,0.04514,0.01476,0.65762,0.47179,0.16398,0.63767,0.23044,0.24909,0.28966,0.00000,no_passage_homology
3,1152,0.69531,0.18056,0.05642,0.01910,0.64138,0.49217,0.15026,0.63767,0.23044,0.25517,0.26005,0.00000,no_passage_homology
4,1152,0.70920,0.19965,0.05642,0.01823,0.66284,0.46348,0.15539,0.63767,0.23044,0.27444,0.25608,0.00000,no_passage_homology
5,1152,0.72222,0.17188,0.05469,0.01389,0.67468,0.44605,0.17092,0.63767,0.23044,0.24617,0.30144,0.00000,no_passage_homology
6,1152,0.70573,0.18924,0.05469,0.02517,0.63529,0.49734,0.15000,0.63767,0.23044,0.26789,0.25770,0.00000,no_passage_homology
7,1152,0.69010,0.21354,0.06076,0.02170,0.63539,0.50449,0.13405,0.63767,0.23044,0.29272,0.21660,0.00000,no_passage_homology
8,1152,0.72656,0.19965,0.06163,0.01823,0.66719,0.46028,0.17270,0.63767,0.23044,0.27540,0.26694,0.00000,no_passage_homology
9,1152,0.68403,0.20660,0.07031,0.01910,0.64825,0.47152,0.19395,0.63767,0.23044,0.28760,0.20370,0.00000,no_passage_homology
0,1152,0.72049,0.14670,0.04601,0.01736,0.70800,0.39082,0.26012,0.60207,0.28387,0.22595,0.31120,0.00000,no_replan_hysteresis
1,1152,0.75434,0.15885,0.04688,0.01476,0.68351,0.41624,0.26923,0.60207,0.28387,0.23317,0.33391,0.00000,no_replan_hysteresis
2,1152,0.74653,0.15712,0.04427,0.01302,0.68463,0.41250,0.29261,0.60207,0.28387,0.22599,0.33204,0.00000,no_replan_hysteresis
3,1152,0.72917,0.17014,0.04688,0.01736,0.68833,0.41162,0.26667,0.60207,0.28387,0.24615,0.29559,0.00000,no_replan_hysteresis
4,1152,0.71007,0.17101,0.04774,0.01476,0.69781,0.38999,0.26718,0.60207,0.28387,0.23912,0.27591,0.00000,no_replan_hysteresis
5,1152,0.74392,0.16406,0.03993,0.01562,0.68960,0.41497,0.24176,0.60207,0.28387,0.23401,0.32788,0.00000,no_replan_hysteresis
6,1152,0.71354,0.14323,0.04253,0.01476,0.70235,0.37630,0.30469,0.60207,0.28387,0.22055,0.31041,0.00000,no_replan_hysteresis
7,1152,0.73785,0.15799,0.04167,0.01302,0.68533,0.41699,0.24533,0.60207,0.28387,0.22857,0.32751,0.00000,no_replan_hysteresis
8,1152,0.75781,0.16840,0.02604,0.01215,0.71407,0.38126,0.23861,0.60207,0.28387,0.22724,0.35849,0.00000,no_replan_hysteresis
9,1152,0.72917,0.13628,0.03472,0.02604,0.69191,0.41087,0.24931,0.60207,0.28387,0.21484,0.33477,0.00000,no_replan_hysteresis
0,1152,0.70399,0.18576,0.04427,0.02083,0.66295,0.47275,0.13774,0.63407,0.23074,0.26066,0.27872,0.00000,no_support_edge_memory
